time,gt_x,gt_y,linear_x,linear_y,bayesian_x,bayesian_y,particle_x,particle_y,error_linear,error_bayesian,error_particle
0.001199,1.0,0.7,0.00010008990170563954,-0.0014760710490057008,0.012711926662128465,-0.00863842165503721,0.0008974118511135524,-0.0029949229707277587,1.2217915670147708,1.2160233703988652,1.2225036021292095
0.166519,1.0,0.7,0.0008988544565046751,-0.003078606579750471,0.007872191794119198,-0.004936958852586485,0.002248181463300519,-0.006931428374429492,1.222910664638332,1.2201773008791452,1.2280280025256052
0.213712,1.0,0.7,0.0016762636361784306,-0.004693354413056787,-0.010304207669498465,-0.0013290652726748128,0.004352510377023129,-0.012384852779380307,1.2245468907175643,1.2442153354639371,1.2412822477354724
0.261001,1.0,0.7,0.002513433200517515,-0.006343560635039415,-0.0031290631915021935,-0.026334515597840853,0.007385969022830702,-0.01971949482018753,1.2266443015605004,1.2709998058319854,1.2673907898478518
0.313202,1.0,0.7,0.00018299288721027387,-0.0004530834277040388,-0.018432644681287795,-0.027560619514635742,0.011229748083425063,-0.028618559249860405,1.2207875528573715,1.312480373441488,1.311968412093996
0.354019,1.0,0.7,0.00015025278353194936,-0.0003665176376942504,0.03492011931319351,-0.011292126817014997,0.015817888812075263,-0.03908123535380222,1.220756860657125,1.310481144115409,1.3806756901009696
0.401396,1.0,0.7,0.00014680818583854828,-0.0003542446493806195,0.014776534267239719,-0.06445896264948278,0.021226890643900737,-0.051081795043250874,1.2207516327738492,1.4296851306176788,1.477980522766407
0.451491,1.0,0.7,0.00015150279668033198,-0.0003609840720948091,0.017481214829495734,-0.05107929417500712,0.027426478944060907,-0.06473571720613541,1.2207520493854127,1.5222390740866472,1.60716529156863
0.49114,1.0,0.7,0.00015801535429837185,-0.0003741778894435344,0.047935250592675144,-0.05811280536606113,0.03436092159668949,-0.0812823113045835,1.2207551833093835,1.629227899495814,1.7690796665127244
0.534764,1.0,0.7,0.00018176509424173862,-0.0004242267412513796,0.03169279874734902,-0.13866553795515074,0.042245668172968695,-0.09844428374128394,1.2207683472842095,1.8260478619491975,1.9635879703330499
