time,gt_x,gt_y,linear_x,linear_y,bayesian_x,bayesian_y,particle_x,particle_y,error_linear,error_bayesian,error_particle
0.001199,1.0,0.7,0.00010008990170563954,-0.0014760710490057008,0.007661999570143702,-0.003878780355605146,-5.542650610310968e-05,-0.002653762521223457,1.2217915670147705,1.2166791174369385,1.2231229388547256
0.166519,1.0,0.7,0.0008988544565046751,-0.003078606579750471,0.006682618047432674,-0.011219932418572243,0.0013177656047836073,-0.006507052676832668,1.222910664638332,1.2264307572631845,1.2286175900362803
0.213712,1.0,0.7,0.0016762636361784306,-0.004693354413056787,-0.02102900633947586,-0.01861119499963925,0.003448256695532114,-0.011947836497126215,1.2245468907175643,1.2612653364780309,1.2418500416333906
0.261001,1.0,0.7,0.002513433200517515,-0.006343560635039415,-0.0037022302411998434,-0.019322634511370743,0.0063979732327139865,-0.019016070391274793,1.2266443015605004,1.266579657830279,1.2678663553456269
0.313202,1.0,0.7,0.00018299288721027387,-0.0004530834277040388,0.0013111730717401463,-0.0213175184170054,0.010154549764623277,-0.027694633768644148,1.2207875528573715,1.2932171394920782,1.3123103917969912
0.354019,1.0,0.7,0.00015025278353194936,-0.0003665176376942504,0.026059560147174452,-0.03777439055065062,0.014593209274614157,-0.037988552468500594,1.220756860657125,1.3269464676760963,1.380849899118385
0.401396,1.0,0.7,0.00014680818583854828,-0.0003542446493806195,0.01192314008326147,-0.02664146572611546,0.01990257188181524,-0.04986161113138661,1.2207516327738492,1.4089493142395382,1.4779920076121602
0.451491,1.0,0.7,0.00015150279668033198,-0.0003609840720948091,0.048077836569872356,-0.055295099304521866,0.02601313772108207,-0.06324098251551463,1.2207520493854127,1.4944117965787636,1.60677973056662
0.49114,1.0,0.7,0.00015801535429837185,-0.0003741778894435344,0.014222775973404673,-0.06439163158509444,0.03388652278528378,-0.07745132407038044,1.2207551833093835,1.647513213265869,1.767002021427454
0.534764,1.0,0.7,0.00018176509424173862,-0.0004242267412513796,-0.0007639785263151395,-0.08341389321412766,0.04145175378693351,-0.0933756600701923,1.2207683472842095,1.837947202740985,1.9609516186341336
0.582066,1.0,0.7,0.00021259226211358266,-0.0004884561516291294,0.06982811687180138,-0.0895507888315285,0.04868637613548602,-0.11084074233858203,1.2207856005576794,1.976789159508816,2.1871140785209553
0.625009,1.0,0.7,0.00025113104643497607,-0.0005701485579957399,0.06355285793041225,-0.14891346424342009,0.0582086227091683,-0.1292170253808573,1.2208091981720537,2.2537017461416835,2.4426798863390418
0.669163,1.0,0.7,0.00030022841226867643,-0.000673568962199764,0.06142169449159822,-0.13027562709567506,0.06889009132939246,-0.14876396923896407,1.220840499396125,2.4714426838206207,2.727949712830796
0.719166,1.0,0.7,0.0003632779035891274,-0.0008017332716157465,0.06149907540639997,-0.14253415269667322,0.08069623497518916,-0.17082793370741617,1.2208801583027753,2.7068176525838186,3.044452719287422
