sample_idx,time_s,dt_s,step_event,zupt_stationary,zupt_confidence,gt_pos_x_m,gt_pos_y_m,kf_pos_x_m,kf_pos_y_m,kf_pos_z_m,kf_vel_x_mps,kf_vel_y_mps,bayes_pos_x_m,bayes_pos_y_m,bayes_pos_z_m,particle_pos_x_m,particle_pos_y_m,particle_pos_z_m,kf_error_2d_m,bayes_error_2d_m,particle_error_2d_m
0,0.001199,0.001199,0,False,0.0,1.0,0.7,1.000000057556448,0.6999991511890062,0.0,4.8003710082624266e-05,-0.00070793244352563,0.9932372611133149,0.696118000078298,0.0171287886500784,1.0000262361665688,0.699480378830846,-1.3474798435039249e-05,8.507601587772776e-07,0.007797727915333831,0.0005202830920461797
1,0.166519,0.16532,0,False,0.0,1.0,0.7,1.0043715766359844,0.691217041780682,0.0,0.02661439734085661,-0.053462689616075955,1.006438066346975,0.6748465454999295,0.22367348187018027,1.0009691981101971,0.6971770123159424,-2.9386391263751934e-05,0.009810761304127716,0.025964301869589444,0.0029847285372626773
2,0.213712,0.047193,0,False,0.0,1.0,0.7,1.0047876776167817,0.6903140644638722,0.0,0.02263331749755053,-0.045783676607649766,1.0082873744734153,0.6902537989812843,0.19113536403627812,1.0012293793865723,0.6965701517496969,5.7398056668935164e-05,0.010804591809608277,0.012793318957949532,0.0036435192734821016
3,0.261001,0.047289,0,False,0.0,1.0,0.7,1.0054200370532618,0.6890903471156041,0.0,0.020931915596718028,-0.04212659576885976,0.9892455707519588,0.6881418494727513,0.18495870560564015,1.0015528543372203,0.6958867752617774,3.859644427005768e-05,0.012181844183732474,0.01600854404304188,0.0043965866691957215
4,0.313202,0.052201,0,False,0.0,1.0,0.7,1.0062460698576887,0.6873592717757875,0.0,0.020066035767099515,-0.040606872092203136,1.0183023673499114,0.6871706992413449,0.21624614579406112,1.0020107498589914,0.6950321145007659,-4.436012039712888e-05,0.014099694986258723,0.02235100911742311,0.005359384416976866
5,0.354019,0.040817,0,False,0.0,1.0,0.7,1.0066638077915975,0.6864778371626984,0.0,0.018910611833525305,-0.038372550488523484,1.0006724489927996,0.6614748351647314,0.2332019322076317,1.0023723514660787,0.6943159340037105,1.690404287371314e-05,0.015074986636208165,0.03853103311919539,0.006159274123529486
6,0.401396,0.047377,0,False,0.0,1.0,0.7,1.0073303823950424,0.6850947019413052,0.0,0.01832564506973451,-0.03726348677449392,1.0055129148742847,0.6663937684467259,0.24594940142675414,1.0028196709275272,0.6934223831381017,-8.336546928009283e-06,0.016610310541229426,0.03405541116509064,0.007156506670259647
7,0.451491,0.050095,0,False,0.0,1.0,0.7,1.0081630908309915,0.6834555633679354,0.0,0.018131030803810382,-0.03674435620663166,0.9921352122627408,0.6582201922339388,0.2747259003512157,1.0033347413298321,0.6923933444585352,-8.497587641427233e-06,0.01844869738998979,0.042513612209751916,0.008305522756779819
8,0.49114,0.039649,0,False,0.0,1.0,0.7,1.0085850975572719,0.6825543894272028,0.0,0.01750617107864634,-0.035574699971110735,1.0033200205264967,0.6952680755960609,0.22968071276560983,1.0037590908732565,0.6915177094879686,-3.593070374475552e-05,0.01944359093186151,0.005780453689889225,0.00927793169428925
9,0.534764,0.043624,0,False,0.0,1.0,0.7,1.0091691001193335,0.6813609023603538,0.0,0.017156871080737768,-0.03487794602876943,1.0082210569710257,0.683950820465993,0.2615035761070995,1.00421461505886,0.6905517719466991,-7.388014074170432e-06,0.020772297846377567,0.018032247265264492,0.010345626778574122
10,0.582066,0.047302,0,False,0.0,1.0,0.7,1.0098952666701009,0.6798903309101946,0.0,0.0170032071066467,-0.03455541212452089,0.9744549164706704,0.6557863873097942,0.32763650351341694,1.0047463650184587,0.6894517029114339,-8.41135876281028e-05,0.022412387052116588,0.05106265601826788,0.011566959512209778
11,0.625009,0.042943,0,False,0.0,1.0,0.7,1.0104388478399846,0.6787258228630033,0.0,0.016688460753931208,-0.03401662182387701,1.0105871682193093,0.6428649403186065,0.3231183922345989,1.0052340649473621,0.688423303356703,5.159344068317976e-05,0.02369726053962065,0.05810768602947756,0.012704933728442981
12,0.669163,0.044153,0,False,0.2,1.0,0.7,1.0110426154126306,0.6774553883623549,0.0,0.016477193228382918,-0.033649102657322655,1.0275119191669226,0.6508221182313275,0.3750545948445491,1.0057158637379233,0.6873131670598042,-3.372044056037196e-05,0.025103762049611414,0.05635041926641549,0.013914985746415401
13,0.719166,0.050004,0,False,0.4,1.0,0.7,1.0118934215345199,0.6757869887608352,0.0,0.016517341028121062,-0.033627908806323485,1.0267146354232468,0.6775306350046274,0.40423325479754757,1.0063148798179915,0.6860233333695495,1.5524704762729393e-05,0.02697634869780749,0.03490765115404167,0.015337043952940372
14,0.763292,0.044126,0,False,0.6,1.0,0.7,1.0124621129478437,0.6745288628145416,0.0,0.016290049355221277,-0.03330753577383633,1.0538537769185614,0.6630212646155297,0.33598010902119946,1.00687052722594,0.6848058133982994,4.0041792860526214e-05,0.028356358874955245,0.06532730025822935,0.016675354594421057
15,0.803126,0.039834,0,False,0.8,1.0,0.7,1.0129471450155245,0.6735209736351069,0.0,0.016067482127750263,-0.03287441935853833,1.0501854615587565,0.671040368907562,0.3132388337074866,1.0074050383271829,0.6836912309969594,2.8720488122499458e-05,0.02947486049645908,0.057941701604936675,0.017911184746453375
16,0.853114,0.049988,0,True,1.0,1.0,0.7,1.0030193791258548,0.6938218994533653,0.0,0.002165415248229295,-0.004445385303579061,1.0629945700677184,0.6604779203486385,0.4031943429648878,1.0079272180191765,0.6825579774475699,3.41846165082901e-05,0.006876450877449485,0.07436605837332806,0.01915893880785251
17,0.901839,0.048726,0,True,1.0,1.0,0.7,1.0024022535883201,0.6950898688657445,0.0,0.0011639699693025663,-0.0023880318494875663,1.0189480424128796,0.6474368789363355,0.32623582112216337,1.0084413209225553,0.6814510301614131,3.0841460734323386e-05,0.005466279361520177,0.05587405486658124,0.020379405805625854
18,0.955428,0.053588,0,True,1.0,1.0,0.7,1.0022313412083228,0.6954400550923778,0.0,0.0007754572854581888,-0.0015917185551409824,1.018159387493045,0.665593894455533,0.3281734672330994,1.0090381652203415,0.6801815053291466,3.779648530146917e-06,0.005076611187446644,0.03890428579037999,0.021782129408504467
19,1.005486,0.050058,0,True,1.0,1.0,0.7,1.00216636281862,0.6955725212292863,0.0,0.0005643260339931898,-0.0011601970139222832,1.0206550945217046,0.6571146078879998,0.3218720269922958,1.0096099616612026,0.678998512568289,-1.3024527030791055e-05,0.004929066455934569,0.04760031288028005,0.023095753667592166
20,1.059115,0.05363,0,True,1.0,1.0,0.7,1.0021465394010909,0.6956113290642515,0.0,0.0004333645201833353,-0.0008960443577304825,1.0168748594025916,0.7073324906155747,0.3330850659604612,1.010248150090567,0.6776762101167282,-1.8793704340004694e-05,0.004885495264834354,0.018399084175162776,0.02456371663717145
21,1.102797,0.043681,0,True,1.0,1.0,0.7,1.0021375245644324,0.6956318982464568,0.0,0.00034848323804564723,-0.0007146785220789013,1.0049918488774758,0.6821775097999099,0.31057292906604633,1.010721732925145,0.6766396938087066,2.4274974717350806e-05,0.004863057083035211,0.018508368705746698,0.02570329671985906
22,1.151148,0.048351,0,True,1.0,1.0,0.7,1.0021387345381267,0.6956288897165186,0.0,0.0002906282282492305,-0.0005979777891774597,0.9977915438995728,0.6657819146625822,0.4260544205724687,1.0112504960795807,0.6754422612755707,1.4112675863666468e-05,0.0048662912505246445,0.03428927882744574,0.027012148994369045
23,1.20142,0.050272,0,True,1.0,1.0,0.7,1.0021447599248396,0.6956160431175337,0.0,0.0002522091756995921,-0.0005209392476821845,0.9999287487407345,0.6526099835340773,0.4883911122034441,1.0118022615523636,0.6742147067336505,3.610438172413754e-06,0.004880478775952386,0.04739007002930433,0.028357974655853845
24,1.245074,0.043654,0,True,1.0,1.0,0.7,1.0021488540740529,0.6956065195396968,0.0,0.00021791146208494756,-0.0004553892294881464,1.0048811817201877,0.6866997708438743,0.318708448412612,1.0122727495335728,0.6731807271985912,-6.0708657783140635e-05,0.004890832688473352,0.014167640261911942,0.02949396166523232
25,1.297599,0.052525,0,True,1.0,1.0,0.7,1.002157482424558,0.6955879386157702,0.0,0.00020134832296868094,-0.0004240060230495953,1.0084293748038404,0.6898329577699932,0.3220645956964775,1.0128610219565712,0.6718255367001293,-3.8713658998537977e-05,0.004911315106006585,0.013206934060953,0.03097105532595174
26,1.347822,0.050223,0,True,1.0,1.0,0.7,1.0021654114648262,0.6955711410648362,0.0,0.0001871804436647652,-0.0003948217889783732,0.9943285292530017,0.6873573909405635,0.3071924950956531,1.0134378727436408,0.6705574385481679,-1.2647181883477512e-05,0.004929888262382886,0.013856447750552893,0.0323641908398649
27,1.392492,0.04467,0,True,1.0,1.0,0.7,1.0021717726411654,0.6955578984313006,0.0,0.0001737109146232536,-0.0003652314335565952,1.0017855130381255,0.6517858196385645,0.34391011183212883,1.013918162517878,0.6694665129329955,6.491901840411995e-06,0.0049445791278486225,0.04824723043589489,0.033556058772522566
28,1.442902,0.05041,0,True,1.0,1.0,0.7,1.0021802754904048,0.695540776631836,0.0,0.0001718593344208935,-0.0003558282220962582,0.9667104177567503,0.6766062122737332,0.2422461507381291,1.014487801242011,0.6682022520223865,-3.298029630018561e-06,0.004963695625362146,0.04068741316564274,0.034942712563220395
29,1.495071,0.052169,0,True,1.0,1.0,0.7,1.0021891512502026,0.695522502598471,0.0,0.00017116067590173747,-0.0003535826858345958,1.0109154558080653,0.6831750177999467,0.2738846039300238,1.015060468284869,0.6668841797790377,5.747301468918811e-05,0.004984011053053729,0.0200556027466126,0.03637959941872144
30,1.550458,0.055387,0,True,1.0,1.0,0.7,1.0021987687884297,0.6955023494038178,0.0,0.00017229174560428562,-0.00035826711052425707,1.0319578862638794,0.6449990639011868,0.32686114203271516,1.0157200147438148,0.6654461057558592,1.3260632624533513e-05,0.00500634048685366,0.06361139415388396,0.037961697419649464
31,1.597779,0.047322,0,True,1.0,1.0,0.7,1.0022061535069635,0.6954870441800303,0.0,0.00016609618254021985,-0.0003449750385587503,1.0254996054016927,0.5601458398084491,0.4948063781556282,1.0162552465253831,0.664289983977749,-2.8089372292592277e-05,0.0050233339058125236,0.1421598255433862,0.039235676162268474
32,1.648329,0.05055,0,True,1.0,1.0,0.7,1.0022143525222595,0.6954699634793212,0.0,0.0001644792238843247,-0.00034204053604559685,1.0723509979194221,0.6267741041363033,0.32062117321712863,1.01686662765343,0.6630071536351171,-3.1445076047852345e-06,0.005042280036999167,0.10294026775260093,0.04065653466019055
33,1.693583,0.045254,0,True,1.0,1.0,0.7,1.0022208696562012,0.6954562484174391,0.0,0.0001570266913280192,-0.0003278497966400955,1.0644887719793577,0.635363697584493,0.4212712970403408,1.0173645754535074,0.6619436683999973,1.668596483261079e-05,0.005057463838116789,0.09130527532051179,0.041830764462652534
34,1.741671,0.048088,0,True,1.0,1.0,0.7,1.0022284340427055,0.6954408795006017,0.0,0.00015713511208791364,-0.00032461255506549167,1.0356002404903246,0.6823759167904593,0.3424951880762399,1.017905164055774,0.6607775252743994,-6.600468789514034e-06,0.0050745933837817595,0.039723864765978674,0.04311609239558421
35,1.785241,0.04357,0,True,1.0,1.0,0.7,1.0022345660102878,0.6954280052718128,0.0,0.00015140189217779335,-0.0003144275524883909,0.9681614072143885,0.685566355876776,0.43945595597002396,1.0183544077791058,0.6597850221258617,-7.17049840095734e-06,0.005088852625976181,0.03495748951575146,0.04420552827802347
