dataset_name,dataset_type,motion_label,n_samples,has_ground_truth,has_gyro,duration_s,mean_dt_s,step_events,zupt_stationary_count,zupt_stationary_rate,zupt_mean_confidence,heading_range_rad,runtime_s,kf_path_length_m,bayes_path_length_m,particle_path_length_m,kf_final_displacement_m,bayes_final_displacement_m,particle_final_displacement_m,kf_smoothness,bayes_smoothness,particle_smoothness,bayes_mode_confidence,particle_resampling_count,linear_mae_2d_m,linear_rmse_2d_m,bayes_mae_2d_m,bayes_rmse_2d_m,particle_mae_2d_m,particle_rmse_2d_m,floorplan_walkability_percent,bayes_mae_change_vs_linear_pct,particle_mae_change_vs_linear_pct
Real-data-set-sensor_log_4.csv,benchmark,benchmark_route,871,True,True,39.961838,0.04588178,16,226,0.259472,0.287026,6.266686,2.128284,1.158968,157.724118,1.094336,0.503543,0.53475,0.505673,0.0011623,0.32810169,0.00025181,0.02231731,82,1.444586,2.206112,1.533367,2.218718,1.495847,2.186907,100.0,6.145775,3.548491
pi_sensor_log_turn90.csv,pi,turn_90,1900,False,False,57.953552,0.03050677,16,300,0.157895,0.199474,6.270029,4.529084,1.307172,443.675552,1.022539,0.593836,0.646088,0.66036,0.00048187,0.41769414,0.00014482,0.03050135,98,,,,,,,,,
