step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.983169,0.026614,0.0,-1.8325957145940461,0.47,5.470740487313764,5.719971017649563,0.01793766999897281,0.019682212838736265,9.0,0.00024377691881354973,1.0
1,4.731761,0.026414,0.05398999999999976,-1.8325957145940461,0.47,5.327975964752157,5.422923916598089,0.04010403300130156,0.01428735874454898,16.0,0.0001967526337106068,1.0
2,5.445448,0.02744,-0.15654199999999996,-2.0943951023931957,0.47,4.931636148176908,5.06385985960625,0.022418605382870403,0.02890371839526331,27.0,0.00022744454973947528,1.0
3,6.213147,0.026504,-0.016881000000000146,-2.0943951023931957,0.47,4.641828425008214,4.683917496184765,0.030953757118077324,0.03479753363838023,38.0,0.0002350315767989848,1.0
4,7.854463,0.033762,0.33053100000000013,-1.8325957145940461,0.47,4.547722912656614,4.26197348838242,0.040780056704478054,0.03629537397788842,44.0,0.0002534107351777322,1.0
5,8.979637,0.028352,0.7428599999999999,-1.0471975511965979,0.47,4.615371689512098,3.8405668718475727,0.03786087456013079,0.03877469749337311,47.0,0.0002506380494809036,1.0
6,9.717545,0.032297,-0.2999649999999998,-1.3089969389957472,0.47,4.53993252913389,3.4146080135450605,0.0431063603693728,0.04105734176757256,53.0,0.0002534220929736396,1.0
