model,n_steps,walkable_ratio,path_length_m,runtime_s,runtime_ms_per_step,mean_neff,final_x_m,final_y_m
particle,0,0.0,0.0,0.0036601999308913946,0.0,0.0,,
discrete_bayes,0,0.0,0.0,0.009016499854624271,0.0,0.0,,
