step_idx,timestamp,dt,heading_change_rad,step_length_m,x_m,y_m,var_x,var_y,neff,inside_map
0,15.543981,0.048914,0.04168800000000002,0.72,5.737100214794925,3.5565686460693713,0.23077666643309389,0.2709195760057933,3907.0,1.0
1,19.177325,0.047355,-0.006661,0.72,6.47518105133145,3.6287545961909906,0.25924588722843,0.4057559803483022,4191.0,1.0
2,19.824889,0.050813,0.0048799999999999955,0.72,7.1999020265342475,3.7398114428250193,0.30241306978509613,0.5965400852412991,4407.0,1.0
3,20.648478,0.043539,0.006878000000000023,0.72,7.931227430219334,3.8933359035530373,0.34955970527350955,0.8176750972509794,4562.0,1.0
4,21.343471,0.050931,0.0009370000000000003,0.72,8.653235542931178,4.08344799868058,0.41588508717106065,1.0349520736452604,4663.0,1.0
5,21.910378,0.050905,0.031504,0.72,9.38186468225249,4.314813959456842,0.4861523156310641,1.2636832290901252,4738.0,1.0
6,22.76144,0.045199,0.007235999999999999,0.72,10.110882650916215,4.532556607703704,0.566697424385716,1.4029432405438567,4744.0,1.0
7,23.42024,0.04859,0.020320000000000008,0.72,10.841799084404208,4.74161549206905,0.6541901542923546,1.5029366504106645,4652.0,1.0
8,29.203159,0.05115,-0.002714999999999801,0.72,11.574185070431206,4.931277965302462,0.7469258032980712,1.5815516957959939,4561.0,1.0
9,29.630592,0.04351,-0.004742999999999942,0.72,12.311242697290972,5.094456201502007,0.8379499997509248,1.6581166834581906,4429.0,1.0
10,30.345633,0.043269,-0.0004309999999998481,0.72,13.052901754696698,5.226541307108638,0.9236161897923195,1.747073525221106,4310.0,1.0
11,31.787863,0.044098,0.0013220000000000454,0.72,13.799093396394444,5.324377895561369,1.0003482169570355,1.8553230243789374,4209.0,1.0
12,32.433487,0.050035,-0.0033890000000003084,0.72,14.549734292718636,5.385730532827427,1.0646261427831298,1.9811767832225007,4102.0,1.0
13,33.220813,0.05067,0.008267000000000024,0.72,15.304849089896784,5.409248166646874,1.1124476311100182,2.1135603556256486,3981.0,1.0
14,34.005225,0.050622,0.0022890000000002075,0.72,16.06381990945317,5.394989045324074,1.1420997560988393,2.232230601599377,3753.0,1.0
15,39.697913,0.048415,-0.006556000000000006,0.72,16.836366894708195,5.345352679338765,1.078131117926426,2.310593075153789,3467.0,1.0
