model,n_steps,walkable_ratio,path_length_m,runtime_s,runtime_ms_per_step,mean_neff,final_x_m,final_y_m
particle,11,1.0,6.477967622999517,0.11246589990332723,10.224172718484294,2609.731212817029,4.268882091022519,4.8514373579907595
discrete_bayes,11,1.0,5.753036162449595,0.03514899988658726,3.1953636260533873,66.9090909090909,4.710105870361945,5.289569724350115
