step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,4.937279,0.038108,-0.3008851367901251,-2.174217380393821,0.65,4.873877640328607,6.136264644449415,0.024204376724983843,0.01866016160211199,2804.5644533722766,0.00025354969573988654,1.0
1,5.763167,0.038065,0.14790694618296873,-2.0284576738989766,0.65,4.587069965208164,5.555038857733046,0.03123109310113045,0.021541448615200267,2802.196627819585,0.00025354969573988654,1.0
2,6.363993,0.038177,-0.19637377806178113,-2.2160330149930734,0.65,4.2079154997986095,5.030743032196892,0.03946532680967342,0.02569379011125205,2741.860181246404,0.0002535417771731054,1.0
3,7.146834,0.038056,-0.40444229096481266,-2.621800174413379,0.65,3.6558469375471008,4.754055607178784,0.05715708110281848,0.03332714487804905,2448.9936180639334,0.00022838062200297593,1.0
4,7.79693,0.043818,-0.5842898258645,3.0550286433078844,0.65,2.940981751373016,4.877023313434785,0.04170896172244981,0.022473420732969023,1843.0987135869914,0.0002506210828760424,1.0
5,8.571654,0.050412,-0.32965201865118754,2.7660403654123296,0.65,2.4206836824186753,5.048331882154359,0.026477338739135377,0.01792879687768797,3000.0000000000005,0.0002499395868891275,1.0
