timestamp,dt,phase,accel_raw_x_g,accel_raw_y_g,accel_raw_z_g,accel_raw_x_mps2,accel_raw_y_mps2,accel_raw_z_mps2,accel_filt_x_mps2,accel_filt_y_mps2,accel_filt_z_mps2,accel_lin_x_mps2,accel_lin_y_mps2,accel_lin_z_mps2,gyro_x,gyro_y,gyro_z,step_state,step_count,velocity_x,velocity_y,velocity_z,pos_x,pos_y,pos_z,g_est_x,g_est_y,g_est_z
1769170343.28556,3.038848876953125,START_STILL,0.03176041692495346,0.0012139629106968641,1.0242578983306885,0.3115696900337935,0.011908976153936237,10.047969982624055,0.311754127127386,0.016642453171057735,10.04658259754703,-2.0330397605683448e-05,-0.007906817559814379,0.01616300270585036,0.00218105036765337,0.0025152391754090786,0.001262709149159491,INITIALIZING,0,-6.178100593204165e-05,-0.024027623661915173,0.04911692262086369,-0.00018774314049361913,-0.07301631718086325,0.14925890514580517,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.325929,0.04019570350646973,START_STILL,0.03127552196383476,0.0019423406338319182,1.0249888896942139,0.30681287046521905,0.01905436161789112,10.055141007900238,0.3108164531789222,0.017100147209497676,10.048206678014234,-0.0009580043460694632,-0.007449123521374439,0.01778708317305444,-0.0005590105429291725,0.0006548427045345306,0.001826267340220511,INITIALIZING,0,-0.0001002886645845592,-0.02432704642236341,0.049831886942332704,-0.00019177431392031986,-0.0739941599260447,0.1512619328985071,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.378694,0.05272173881530762,START_STILL,0.03176041692495346,0.0014567554462701082,1.0249888896942139,0.3115696900337935,0.014290770927909762,10.055141007900238,0.3109593906185503,0.016567027978746804,10.049522566042059,-0.0008150669064413418,-0.00798224275212531,0.019102971200879892,0.0012361817061901093,0.0009282687678933144,0.0011698445305228233,INITIALIZING,0,-0.0001432604091429604,-0.024747884139901342,0.05083902880058184,-0.00019932725179372913,-0.07529891140990008,0.15394225489655528,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.4363215,0.05754852294921875,START_STILL,0.03200286254286766,0.0014567554462701082,1.024745225906372,0.3139480815455318,0.014290770927909762,10.052750666141511,0.31152653736154334,0.01613507572803314,10.050135144091175,-0.000247920163448323,-0.008414195002838975,0.0197155492499963,0.002736852504312992,0.0014777393080294132,0.0008154120296239853,INITIALIZING,0,-0.00015752784835874027,-0.02523210863412142,0.0519736295390517,-0.00020839274679014316,-0.076750981992688,0.15693326050883757,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.4804592,0.04423642158508301,START_STILL,0.03200286254286766,0.0009711703169159591,1.025476336479187,0.3139480815455318,0.00952718080894556,10.059922860860825,0.3119860599185813,0.014881133392421413,10.05199250298939,0.00021160239358963828,-0.009668137338450702,0.021572908148211667,-6.211083382368088e-05,0.0017287838272750378,0.0010986268753185868,INITIALIZING,0,-0.00014816731566749637,-0.02565979243336761,0.052927937798712264,-0.0002149471386311406,-0.07788607938855617,0.15927460307893046,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.5309095,0.05037236213684082,START_STILL,0.03151796758174896,0.002185133285820484,1.0232830047607422,0.30919126197695734,0.02143615753389895,10.038406276702881,0.3114557071358275,0.016125042743675225,10.049414322717086,-0.00031875038916417964,-0.00842422798719689,0.018994727875906392,0.001416221261024475,0.0016812561079859734,0.000736474059522152,INITIALIZING,0,-0.00016422352570173335,-0.026084140696262,0.05388474710996816,-0.00022321946553917712,-0.07919999916973659,0.16198890507400587,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.5952914,0.06436514854431152,START_STILL,0.03151796758174896,0.0014567554462701082,1.025476336479187,0.30919126197695734,0.014290770927909762,10.059922860860825,0.3110259963601346,0.015776963497111586,10.05140846775498,-0.0007484611648570505,-0.008772307233760528,0.020988872913800805,0.0013791108503937721,0.0010498552583158016,0.0009819436818361282,INITIALIZING,0,-0.00021239833975740584,-0.026648771554439336,0.05523569903284263,-0.0002368905162282277,-0.0809152513093615,0.16554415904720368,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.6348224,0.039515018463134766,START_STILL,0.03176041692495346,0.002185133285820484,1.0245015621185303,0.3115696900337935,0.02143615753389895,10.050360324382783,0.31112916999157897,0.016850876305208862,10.051209567596263,-0.0006452875334126973,-0.007698394425663252,0.020789972755084207,0.00012690015137195587,0.0010249568149447441,0.0021352707408368587,INITIALIZING,0,-0.00023789688855423927,-0.026952973752305914,0.056057215190107854,-0.0002462910161717708,-0.08198029856482025,0.16775926094043273,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.687761,0.053038597106933594,START_STILL,0.03151796758174896,0.0024279258213937283,1.0213334560394287,0.30919126197695734,0.023817952307872474,10.019281203746797,0.31076142429770665,0.018172978375859027,10.04515070503445,-0.0010130332272850207,-0.006376292355013087,0.01473111019327078,0.0022146720439195633,-0.00021545076742768288,0.0002925863955169916,INITIALIZING,0,-0.0002916267497521462,-0.027291163353559474,0.05683853260858659,-0.0002617584898574794,-0.0834277835825092,0.17077389697160886,0.31177445752499167,0.024549270730872114,10.03041959484118
1769170343.7432215,0.05536460876464844,START_STILL,0.03151796758174896,0.0009711703169159591,1.025476336479187,0.30919126197695734,0.00952718080894556,10.059922860860825,0.31046346359586763,0.01653231493810288,10.04795393235658,-0.001310993929124038,-0.008016955792769235,0.01753433751540001,0.0018708379939198494,0.002173936925828457,-0.0003530938411131501,INITIALIZING,0,-0.00036420941573092776,-0.027735018974509626,0.057809314345074005,-0.0002819228016678234,-0.08496332205711303,0.17397448704327645,0.31177445752499167,0.024549270730872114,10.03041959484118
