timestamp,accel_raw_x,accel_raw_y,accel_raw_z,accel_filt_x,accel_filt_y,accel_filt_z,gyro_x,gyro_y,gyro_z,step_state,step_count,velocity_x,velocity_y,velocity_z,pos_x,pos_y,pos_z
1768827042.7623358,0.00315179699100554,-0.0709204152226448,0.9916024804115295,0.0031439599216194526,-0.07074408478297237,0.9891371729063436,0.06297308206558228,-0.06816615909337997,0.020757323130965233,INITIALIZING,0,0.0001756719568230287,-0.003952897656875178,0.05526904510963049,9.815849178553064e-06,-0.00022087217516015138,0.0030882140829415587
1768827042.806447,0.02424459159374237,-0.07357389479875565,0.9923335909843445,0.01665813478817515,-0.07261293439331405,0.9920483214076136,0.006812674924731255,0.004095813725143671,-0.001187654328532517,INITIALIZING,0,0.0009070238642118382,-0.007140866102618933,0.09882352712753023,4.9637452351639456e-05,-0.0005343818274091928,0.007426921626052181
1768827042.8553255,0.023274807259440422,-0.07357389479875565,0.9898965954780579,0.02325314786602326,-0.07359007783468088,0.9916172244827346,0.004483507946133614,0.002467893995344639,-0.00026231189258396626,INITIALIZING,0,0.002033173024126166,-0.010704831068095621,0.146847515567371,0.00014810395272708867,-0.0010528164317827105,0.01453874180818492
1768827042.8918412,0.022547468543052673,-0.07285021990537643,0.9891654849052429,0.024930735883356703,-0.07347972515043036,0.9905872878726423,0.008548351004719734,0.0023856363259255886,-0.07870738953351974,INITIALIZING,0,0.0029492249747390727,-0.01340476122136028,0.18324553532714336,0.0002564699192812326,-0.00154535936039016,0.021271893643851264
1768827042.9267886,0.023517252877354622,-0.07429756969213486,0.9896529316902161,0.02601827806514024,-0.07411070682707313,0.990234633661443,0.005361374467611313,0.002606420312076807,0.07520628720521927,INITIALIZING,0,0.0038506675339503387,-0.01597243864643405,0.21755371053199585,0.00038988211465347923,-0.0020987486328946097,0.028809370685832142
1768827042.9623015,0.02424459159374237,-0.07357389479875565,0.9906277060508728,0.026834280196894773,-0.07413333061514799,0.990464402692744,0.005182674154639244,0.0028147981502115726,-0.002879943698644638,INITIALIZING,0,0.004797380650628459,-0.01858786175305115,0.25249728400412824,0.0005591336524000866,-0.00275452819558433,0.03771747214927182
1768827042.9950335,0.02303236350417137,-0.07429756969213486,0.9886780977249146,0.02662729748498032,-0.0744109163509725,0.9897967294012905,0.004689443856477737,0.0030061365105211735,-0.0027839522808790207,INITIALIZING,0,0.0056694725359112685,-0.021024953101234173,0.2849149071698751,0.0007448190752332115,-0.0034431332257561153,0.047048947815516544
1768827043.0290072,0.02303236350417137,-0.07429756969213486,0.9896529316902161,0.02644763860992144,-0.07458985548606263,0.989717209235274,0.005413850769400597,0.003501489758491516,-0.0011947109596803784,INITIALIZING,0,0.006576515390010869,-0.023583071669202458,0.3188580480096584,0.0009703659143051751,-0.004251933472566973,0.05798443881284181
1768827043.0733333,0.023274807259440422,-0.07405634969472885,0.9923335909843445,0.026517628483892004,-0.07465693624346634,0.9906455254794723,0.006114112213253975,0.0015981276519596577,-0.0017453946638852358,INITIALIZING,0,0.00774300416283039,-0.026867169189235464,0.36243573385051886,0.0013109743299228457,-0.005433798254921972,0.07392769009800286
1768827043.1079533,0.023274807259440422,-0.07357389479875565,0.9920898675918579,0.026255441900088473,-0.07447615802384659,0.9912019456408935,0.004113573580980301,0.004512523300945759,-0.0016720779240131378,INITIALIZING,0,0.00864957128761162,-0.029438736512358815,0.3966606804865988,0.0016096330614208641,-0.006450280507201695,0.08762388054838299
