step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.018521,0.033683,0.0,-2.034060978896009,0.47,4.586548780884216,5.831305624310638,0.024319073976382055,0.02337498208356592,2999.8836563007876,0.00025354969573988654,1.0
1,4.587528,0.041009,0.34245400000000004,-1.6972364450421094,0.47,4.5271062585532835,5.3660282599796965,0.028384318077884812,0.0242165267507374,2997.5804692209267,0.00025354969573988654,1.0
2,5.990508,0.02658,-0.01120499999999991,-1.7101112583072209,0.47,4.458448365170787,4.9051398413621445,0.03524937895722369,0.025035558307681893,2985.531886150621,0.00025352806723806396,1.0
3,6.575553,0.026749,0.07859900000000009,-1.6377156664805033,0.47,4.415846392264764,4.438721868431545,0.040568243786989866,0.02632002842065288,2916.0516414714866,0.00025347109305986343,1.0
4,7.33946,0.026602,-0.1640290000000002,-1.7930444520927342,0.47,4.328953687725849,3.983200683168924,0.0442027346907642,0.027948653042786143,2799.9972722289635,0.000253521083764987,1.0
5,7.863547,0.026599,0.05705099999999996,-1.7167101893656533,0.47,4.317602232700196,3.5099563251958443,0.03961112086709348,0.029660700909929005,2414.4166361228145,0.00025342210151234324,1.0
6,8.516249,0.034456,-0.10210100000000022,-1.7961009447713634,0.47,4.272396926712559,3.0379079449154616,0.037241716025783904,0.030340579261209488,1993.4479156243156,0.0002528681536168964,1.0
7,9.151464,0.03482,0.12980199999999975,-1.6674434627851276,0.47,4.232450417262862,2.5643098820240753,0.04645895636321946,0.029451096661398363,1930.8750464749053,0.00025351625975443716,1.0
8,9.870365,0.026584,-0.04594699999999996,-1.7074003014589396,0.47,4.1867570188093275,2.1164402932930004,0.056520634377069945,0.02895866499412749,1826.9091928782536,0.00025254244406675914,1.0
9,10.636081,0.033536,0.009257999999999988,-1.6642550343543447,0.47,4.254884057482571,1.6392763579284289,0.04425862367800481,0.033832281661822984,3000.0000000000005,0.00025286028232153273,1.0
