timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event
0.000304,0.000304,1.891874,0.065703,0.118968,0.975275,0.984699,0.184977,0.059651,0.326499,0
0.143362,0.143059,1.903204,0.009213,0.101245,0.969182,0.9745,0.144965,0.116156,0.113307,0
0.188407,0.045045,1.908762,-0.012095,0.151745,0.985997,0.997679,-0.060286,0.153113,0.113307,0
0.23217,0.043762,1.91528,0.046792,0.136935,0.99209,1.002588,-0.344338,0.108826,0.381476,0
0.274126,0.041956,1.930328,0.033458,0.136449,1.01646,1.026123,-0.109155,0.080115,0.157594,0
0.319662,0.045536,1.937312,0.03273,0.094689,0.997451,1.00247,-0.026868,0.019698,0.115352,0
0.368469,0.048808,1.942827,0.025214,0.11654,0.99867,1.005763,-0.058421,-0.005197,0.0682,0
0.40654,0.038071,1.945585,0.045822,0.094689,0.993065,0.998621,0.007831,-0.012303,-0.057159,0
0.448142,0.041601,1.946055,0.038064,0.103915,0.994283,1.000423,0.019621,-0.031932,0.006489,0
0.49319,0.045048,1.947864,0.037822,0.121153,0.982829,0.990991,-0.002748,-0.009319,0.01328,0
0.534692,0.041502,1.950208,0.040246,0.120425,0.991359,0.999457,0.034819,-0.024205,0.025839,0
0.579754,0.045061,1.953332,0.051883,0.124795,0.976006,0.985319,-0.002022,0.035777,0.032105,0
0.621248,0.041494,1.956585,0.027396,0.107314,0.993308,0.999464,-0.007554,0.03071,0.026319,0
0.659282,0.038034,1.959211,0.03564,0.124067,1.004762,1.01302,-0.006316,-0.068134,0.019854,0
0.707911,0.04863,1.960348,0.03273,0.106586,0.987703,0.993977,0.020031,-0.047454,-0.00126,0
0.746204,0.038292,1.961715,0.039034,0.108043,0.97625,0.982985,0.034893,0.007196,0.005203,0
0.794734,0.04853,1.963476,0.050429,0.117269,0.980636,0.98891,0.022363,0.003307,-0.017782,0
0.832724,0.037991,1.964058,0.034185,0.118726,0.972594,0.98041,0.01668,0.092609,-0.027115,0
0.87423,0.041506,1.964908,0.037822,0.117754,0.999401,1.007025,0.022748,0.032775,0.000631,0
0.919683,0.045453,1.9663,0.024002,0.121396,0.997207,1.004856,0.020381,0.041126,0.042493,0
0.961303,0.04162,1.968093,0.047035,0.129651,0.988922,0.998493,0.009903,0.03867,0.009605,0
1.006429,0.045126,1.969051,0.025699,0.124067,0.999644,1.007642,-0.030527,-0.01506,-0.02296,0
1.047989,0.04156,1.969153,0.035882,0.112656,0.982829,0.989915,0.002944,-0.020063,-0.034374,0
1.093251,0.045262,1.968404,0.027154,0.122367,0.983804,0.991757,-0.020468,0.009814,-0.057938,0
1.134778,0.041527,1.967143,0.029821,0.126009,0.988922,0.997364,-0.056545,-0.011031,-0.055227,0
1.179748,0.044969,1.966535,0.04267,0.120668,0.985023,0.993303,-0.013453,-0.004759,-0.034377,0
1.221521,0.041773,1.966817,0.03273,0.185008,0.977955,0.995839,-0.011425,0.025351,-0.021487,0
1.260056,0.038535,1.967541,0.039761,0.13038,0.991115,1.000444,-0.010216,-0.006644,0.017519,0
1.302017,0.04196,1.968975,0.028124,0.125281,0.990628,0.998914,0.008969,-0.012321,0.018342,0
1.343792,0.041775,1.970291,0.038064,0.123339,0.966745,0.975325,0.053147,0.048417,0.005762,0
1.389137,0.045345,1.972741,0.037822,0.118726,0.984779,0.992631,0.058665,0.037026,0.019032,0
1.430874,0.041738,1.97493,0.009455,0.067739,0.999644,1.001982,-0.016194,0.028296,-0.009516,0
1.475917,0.045043,1.976162,0.031033,0.132322,0.999888,1.009083,-0.05017,-0.059991,-0.000931,0
1.517518,0.0416,1.976988,0.028124,0.183308,0.972838,0.990357,0.012534,-0.019644,0.009295,0
1.562597,0.045079,1.978803,0.038306,0.143248,0.976981,0.988169,-0.056658,0.032429,0.002807,0
1.604246,0.04165,1.980499,0.032003,0.057785,0.995989,0.998177,-0.009621,0.040371,-0.002996,0
1.642308,0.038062,1.981812,0.03467,0.11217,0.937989,0.945308,0.019669,-0.025773,0.01267,0
1.690886,0.048578,1.982443,0.030548,0.114598,0.985023,0.992137,-0.003368,-0.013538,-0.015642,0
1.729254,0.038368,1.9829,0.026911,0.128437,0.994771,1.003389,0.0025,-0.054424,0.010771,0
1.778312,0.049059,1.98378,0.019638,0.109499,0.987216,0.993464,0.055589,-0.073477,-0.005262,0
1.823612,0.045299,1.984314,0.025942,0.128437,0.988434,0.997082,-0.015548,-0.079863,-0.019064,0
1.865223,0.041612,1.984045,0.039276,0.124067,0.979418,0.988025,0.02449,-0.079782,-0.04507,0
1.903433,0.03821,1.983285,0.042428,0.131594,0.963334,0.973205,0.049506,0.067744,-0.033768,0
1.95245,0.049017,1.983629,0.03467,0.138392,0.991846,1.002054,-0.006554,0.075859,-0.006239,0
1.997884,0.045434,1.985493,0.024487,0.132565,1.000132,1.009176,0.000221,0.007031,0.005366,0
2.039522,0.041638,1.98673,0.040488,0.134021,0.978687,0.98865,-0.021156,0.027246,0.01181,0
2.084738,0.045216,1.988295,0.032973,0.12431,0.986729,0.995075,0.01387,0.024464,0.016219,0
2.126414,0.041676,1.989608,0.03273,0.133293,0.999157,1.00854,-0.013111,-0.003934,-0.001552,0
2.171481,0.045067,1.990938,0.031033,0.128437,0.992334,1.001092,0.016742,-0.004939,0.01497,0
2.213305,0.041824,1.991791,0.03564,0.134993,0.985754,0.995592,0.017006,0.017856,0.001351,0
2.258701,0.045397,1.992203,0.036124,0.129408,0.993065,1.002112,0.03927,0.009554,0.000829,0
2.300942,0.042241,1.992121,0.045337,0.12868,0.977468,0.986944,0.03401,0.028943,-0.020313,0
2.346315,0.045373,1.99198,0.040731,0.131108,0.995014,1.004441,0.005096,0.020976,-0.018845,0
2.387978,0.041663,1.989362,0.024972,0.132808,1.001838,1.010911,0.014911,-0.038796,-0.067776,0
2.433129,0.045151,1.987602,0.035882,0.132322,0.994527,1.003932,0.044701,-0.093382,-0.020652,0
2.474627,0.041498,1.987193,0.053338,0.143005,0.979174,0.990998,0.011081,-0.030692,-0.031606,0
2.519646,0.045019,1.98555,0.057217,0.144947,0.965771,0.978262,0.060282,0.099677,-0.129205,0
2.56122,0.041574,1.979295,0.025942,0.165342,0.97893,0.993134,-0.054561,0.075243,-0.319795,0
2.599218,0.037998,1.969527,-0.027646,0.164371,1.037661,1.050963,-0.159324,0.058138,-0.173188,0
2.647702,0.048484,1.965065,0.058187,0.111927,0.979418,0.987508,-0.130003,0.139994,-0.091332,0
2.691737,0.044034,1.966258,0.055763,0.084977,0.95188,0.957291,-0.934207,-0.062202,0.649343,0
