step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,2.321245,0.034143,0.0,-1.576943082815591,0.5,5.211196655902942,5.425638337273223,0.025494096585879,0.0176748005852481,2235.202895824245,0.00019888469077474855,1.0
1,4.477456,0.026663,0.16902799999999996,-1.4759075345489079,0.5,5.049681124611404,4.923965427716829,0.015953191207705438,0.02253983898849828,3000.0000000000005,0.00015165466906571845,1.0
2,5.060386,0.034531,0.12738300000000002,-1.4419363480342742,0.5,4.947874477157807,4.434761566281566,0.010707703828264255,0.018388274522525987,3000.0000000000005,5.729466715290626e-05,0.0
3,6.019033,0.027894,-0.09201300000000012,-1.5903893901629393,0.5,4.843852163406744,3.8985373050373804,0.007642165167752083,0.013956168984553128,3000.0000000000005,0.00015206321600700828,1.0
4,6.663439,0.03359,0.12058899999999984,-1.520941138832852,0.5,4.804681257041085,3.4169949784188596,0.007444454208189411,0.010964849592751647,1839.4782321850819,0.00015206321600700828,1.0
5,7.280975,0.02709,-0.13980499999999996,-1.6801087364895038,0.5,4.720179271140973,2.9336383340035512,0.009143749152035778,0.010076992789190562,3000.0000000000005,0.0002273733703298485,1.0
6,7.870485,0.026617,0.040071999999999885,-1.6563300983690254,0.5,4.657440486996747,2.443915140925086,0.013053567080519581,0.010076990137847656,2813.5753518135075,0.00024379323255209505,1.0
7,8.516418,0.026517,-0.006901000000000046,-1.6734241399261705,0.5,4.5922412585572845,1.9517093430415753,0.019195827686201913,0.010691094512478124,2612.2102146746174,0.00025286023618545746,1.0
8,9.107451,0.033712,0.15711399999999998,-1.5348359035218162,0.5,4.587609301041894,1.457044010924243,0.024629868067143658,0.011626717971884647,2312.58616451223,0.00025286023618545746,1.0
9,9.766193,0.03353,-0.0442020000000003,-1.5908998314900642,0.5,4.556828426647665,0.9615021425864726,0.029648078569592756,0.012349785112627866,2050.0238275230317,0.00025286023618545746,1.0
10,10.566429,0.033468,-0.2476849999999997,-1.8292283778587506,0.5,4.4378004403359155,0.4800040940143151,0.033847470744267236,0.013044794687089037,1952.801819035973,0.00025354969573988654,1.0
11,11.334849,0.033592,-1.187725,-2.922872644229211,0.5,4.104719308822074,0.3668844937349805,0.01336807363398537,0.013605902291094377,3000.0000000000005,0.00022735815534755834,1.0
12,12.213,0.02796,1.0327029999999997,-1.8960378910225864,0.5,4.024128618158625,-0.01703586178368126,0.009816905038345569,0.008856691885689728,3000.0000000000005,6.0875405276762544e-05,0.0
13,12.7515,0.031535,0.5589699999999995,-1.4309320120193019,0.5,4.048967713736883,-0.2194557102362251,0.007575285891452421,0.0006635071073651011,3000.0000000000005,7.597538059144441e-06,0.0
14,13.472941,0.03179,0.4420170000000003,-1.0021000285519643,0.5,4.31750287227002,-0.6395415148312394,0.010264594017436438,0.0011462262592035978,3000.0000000000005,0.0,0.0
15,14.15347,0.033838,-0.250664,-1.2452700556246974,0.5,4.477058319294064,-1.11239531845952,0.014819865519317323,0.0021328959823909547,2999.9999999999986,0.0,0.0
16,14.814928,0.033581,-0.17677600000000027,-1.4168382933281205,0.5,4.553534384398955,-1.6051726599659264,0.022454297584380355,0.0032829166578056826,3000.0000000000005,0.0,0.0
17,15.633471,0.027093,0.3999900000000003,-1.0287853411972214,0.5,4.810737146549229,-2.032265466891468,0.03230951181699525,0.00531715021955379,2999.9999999999986,0.0,0.0
18,16.581033,0.02665,1.398347307179586,0.3286318721900902,0.5,5.282447442776962,-1.8715029152689684,0.029292769610360855,0.011004579404614368,3000.0000000000005,0.0,0.0
19,17.303821,0.026661,-0.8840493071795859,-0.5289027772157889,0.5,5.7116147891993645,-2.122170527669552,0.037032544577276956,0.0205052393296715,2999.9999999999986,0.0,0.0
20,17.962795,0.026479,-1.0934149999999998,-1.590088439229094,0.5,5.701988167161313,-2.618932333049904,0.055045465606547786,0.02133226785118465,3000.0000000000005,0.0,0.0
21,18.601024,0.0278,-0.4412950000000002,-2.0188107140056117,0.5,5.486701479905168,-3.066820193824321,0.07734006423695917,0.017090435282924327,2999.9999999999986,0.0,0.0
22,19.183458,0.03513,0.6882989999999998,-1.3524168868127198,0.5,5.594029953705372,-3.55089762653862,0.10899718510201299,0.020346886562024925,3000.0000000000005,0.0,0.0
23,19.808274,0.032843,0.33762500000000006,-1.025987011601277,0.5,5.850811400993028,-3.9745024578944514,0.1438832266581328,0.02833539411459119,2999.9999999999986,0.0,0.0
24,20.436613,0.027761,0.37778699999999965,-0.6600203919979342,0.5,6.24194952341222,-4.278032076270708,0.17329152808966217,0.04502828547004784,3000.0000000000005,0.0,0.0
25,21.172893,0.031519,0.1574930000000001,-0.5069044957561986,0.5,6.674428330070494,-4.51795082205919,0.2009325702468931,0.07006591241531572,2999.9999999999986,0.0,0.0
26,22.547528,0.031493,0.7517443071795862,0.2228036879418282,0.5,7.1562136934896845,-4.408790528521187,0.19012919504166906,0.10730824682995024,3000.0000000000005,0.0,0.0
27,23.786916,0.027856,-1.6170823071795866,-1.344806640210905,0.5,7.266476258884552,-4.889244215564616,0.24683631794527744,0.1194799608454949,2999.9999999999986,0.0,0.0
28,27.499494,0.026763,-0.338276,-1.673001556896769,0.5,7.216201778940067,-5.380331196555892,0.31663679161421227,0.1160930158373871,3000.0000000000005,0.0,0.0
