t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
0.000008,0.000008,0.081462,0.013839,2.081659,2.083298,-0.009495,-0.065578,0.040051,MOVE,0,0.000000,1.000000,0.250000,1
0.155189,0.155181,0.055035,-0.021469,1.001594,1.003335,0.002369,0.000483,-0.000293,MOVE,1,-0.000045,1.700000,0.249968,1
0.192216,0.037028,0.055035,-0.021469,1.000376,1.002118,0.000244,-0.001375,-0.000548,MOVE,0,-0.000065,1.700000,0.249968,1
0.234715,0.042499,0.052853,-0.020987,0.999157,1.000774,0.002297,0.001659,-0.000260,MOVE,0,-0.000076,1.700000,0.249968,1
0.279808,0.045093,0.055035,-0.021710,0.999644,1.001394,-0.000177,0.002509,0.000350,MOVE,0,-0.000061,1.700000,0.249968,1
0.318945,0.039137,0.053096,-0.020504,0.999157,1.000777,0.001285,0.002461,-0.000573,MOVE,0,-0.000083,1.700000,0.249968,1
0.353682,0.034737,0.053823,-0.020745,0.999401,1.001064,0.001899,0.000597,-0.001154,MOVE,0,-0.000123,1.700000,0.249968,1
0.385178,0.031496,0.052611,-0.020263,1.000376,1.001963,0.001886,0.001779,0.001556,MOVE,0,-0.000074,1.700000,0.249968,1
0.426276,0.041097,0.053581,-0.021228,1.000132,1.001791,0.001217,0.000268,-0.000237,MOVE,0,-0.000084,1.700000,0.249968,1
0.455643,0.029367,0.053338,-0.020022,1.000619,1.002240,-0.000025,0.001766,-0.001735,MOVE,0,-0.000135,1.700000,0.249968,1
0.490199,0.034556,0.054550,-0.020745,1.001350,1.003050,0.001473,0.001076,-0.001713,MOVE,0,-0.000194,1.700000,0.249968,1
0.527817,0.037617,0.053581,-0.019539,1.000863,1.002487,0.003856,-0.000426,0.001322,MOVE,0,-0.000144,1.700000,0.249968,1
0.560073,0.032257,0.054308,-0.019781,1.001594,1.003260,-0.001327,0.001380,-0.001715,MOVE,0,-0.000200,1.700000,0.249968,1
0.591002,0.030929,0.055278,-0.021228,1.001107,1.002856,0.000209,0.001349,-0.001383,MOVE,0,-0.000242,1.700000,0.249968,1
0.624903,0.033901,0.053096,-0.020022,1.001594,1.003200,0.000787,0.000413,0.000155,MOVE,0,-0.000237,1.700000,0.249968,1
0.658514,0.033611,0.052853,-0.020987,1.002813,1.004424,0.002568,0.000094,-0.001942,MOVE,0,-0.000302,1.700000,0.249968,1
0.695118,0.036603,0.054065,-0.021710,1.004518,1.006207,-0.001371,0.000061,-0.000376,MOVE,0,-0.000316,1.700000,0.249968,1
0.720854,0.025736,0.054065,-0.021228,1.004518,1.006196,0.002228,0.002451,-0.001540,MOVE,0,-0.000356,1.700000,0.249968,1
0.758833,0.037980,0.053823,-0.020745,1.001838,1.003497,0.000372,-0.000898,-0.000633,MOVE,0,-0.000380,1.700000,0.249968,1
0.792520,0.033686,0.054065,-0.021952,1.002325,1.004022,0.002777,0.001504,-0.002408,MOVE,0,-0.000461,1.700000,0.249968,1
0.823714,0.031194,0.052368,-0.021469,1.005981,1.007572,0.000628,0.002344,0.000935,STILL,0,-0.000432,1.700000,0.249968,1
