t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
1.553631,0.038844,0.024487,-0.022434,1.018897,1.019438,-0.001398,0.002402,-0.000080,STILL,0,-0.000938,1.000000,0.250000,1
1.594035,0.040404,0.023517,-0.022916,1.017922,1.018451,-0.002273,-0.000315,0.000538,STILL,0,-0.000916,1.000000,0.250000,1
1.630256,0.036222,0.024245,-0.022434,1.021577,1.022111,0.000481,-0.000309,-0.000366,STILL,0,-0.000929,1.000000,0.250000,1
1.661587,0.031331,0.024729,-0.022434,1.018165,1.018713,0.000159,0.000912,-0.001875,STILL,0,-0.000988,1.000000,0.250000,1
1.695900,0.034314,0.024002,-0.022675,1.020115,1.020649,-0.000772,-0.000594,-0.000667,STILL,0,-0.001011,1.000000,0.250000,1
1.728081,0.032181,0.025457,-0.023158,1.019628,1.020208,0.001055,-0.000279,0.000536,STILL,0,-0.000994,1.000000,0.250000,1
1.764321,0.036240,0.024002,-0.022675,1.019628,1.020162,0.000455,0.001847,0.000814,STILL,0,-0.000964,1.000000,0.250000,1
1.797242,0.032921,0.024972,-0.024364,1.021821,1.022416,-0.000151,0.001541,0.002273,STILL,0,-0.000890,1.000000,0.250000,1
1.830023,0.032781,0.024245,-0.023399,1.018653,1.019210,-0.000446,-0.001778,0.000431,STILL,0,-0.000875,1.000000,0.250000,1
1.861407,0.031384,0.024245,-0.022193,1.019628,1.020157,-0.000752,-0.000553,-0.001065,STILL,0,-0.000909,1.000000,0.250000,1
1.892845,0.031438,0.024729,-0.021469,1.019140,1.019666,-0.000997,-0.000540,-0.001350,STILL,0,-0.000951,1.000000,0.250000,1
1.924242,0.031397,0.024002,-0.023158,1.018897,1.019442,0.000263,0.000074,0.001072,STILL,0,-0.000918,1.000000,0.250000,1
1.955617,0.031375,0.024245,-0.022916,1.019628,1.020173,0.002642,-0.001705,-0.001361,STILL,0,-0.000960,1.000000,0.250000,1
1.988464,0.032847,0.023032,-0.021952,1.019628,1.020124,-0.000969,-0.000142,0.000441,STILL,0,-0.000946,1.000000,0.250000,1
2.020699,0.032235,0.024972,-0.022916,1.020602,1.021165,-0.000056,0.001369,0.001617,STILL,0,-0.000894,1.000000,0.250000,1
2.052071,0.031372,0.024245,-0.022193,1.019140,1.019670,-0.000360,0.001028,-0.001104,STILL,0,-0.000928,1.000000,0.250000,1
2.083411,0.031340,0.023517,-0.023158,1.020359,1.020892,0.000202,-0.001958,0.000740,STILL,0,-0.000905,1.000000,0.250000,1
2.126361,0.042950,0.023760,-0.022193,1.020846,1.021364,0.001367,0.001064,0.000435,STILL,0,-0.000887,1.000000,0.250000,1
2.159549,0.033188,0.024729,-0.022434,1.021090,1.021636,0.000476,-0.000177,-0.001366,STILL,0,-0.000932,1.000000,0.250000,1
2.195591,0.036041,0.023517,-0.021952,1.017678,1.018186,-0.001317,-0.003149,-0.000435,STILL,0,-0.000948,1.000000,0.250000,1
2.226966,0.031375,0.024972,-0.023640,1.019628,1.020207,0.000814,-0.000952,0.001651,STILL,0,-0.000896,1.000000,0.250000,1
2.258297,0.031331,0.024245,-0.023640,1.019140,1.019703,0.000201,0.000566,0.001626,STILL,0,-0.000845,1.000000,0.250000,1
2.289732,0.031435,0.024002,-0.021710,1.019871,1.020385,0.001737,0.001708,-0.000790,STILL,0,-0.000870,1.000000,0.250000,1
2.322514,0.032782,0.024002,-0.022675,1.018897,1.019431,0.001383,0.001686,0.001619,STILL,0,-0.000817,1.000000,0.250000,1
2.354672,0.032158,0.023517,-0.021469,1.020115,1.020612,-0.001941,-0.000452,-0.002019,STILL,0,-0.000881,1.000000,0.250000,1
2.390614,0.035943,0.025457,-0.022193,1.019871,1.020430,-0.000115,-0.000152,-0.000495,STILL,0,-0.000899,1.000000,0.250000,1
2.424108,0.033494,0.024729,-0.021469,1.018897,1.019423,-0.001587,-0.001663,0.000692,STILL,0,-0.000876,1.000000,0.250000,1
2.455473,0.031365,0.024002,-0.023158,1.020115,1.020660,0.001464,-0.000137,-0.000242,STILL,0,-0.000884,1.000000,0.250000,1
2.486948,0.031476,0.024729,-0.023399,1.020115,1.020683,0.000539,-0.000758,0.000677,STILL,0,-0.000862,1.000000,0.250000,1
2.520695,0.033747,0.025214,-0.022675,1.020359,1.020922,-0.001561,0.001645,0.000955,STILL,0,-0.000830,1.000000,0.250000,1
2.557565,0.036870,0.024487,-0.023158,1.018409,1.018967,0.000278,-0.000477,-0.001739,STILL,0,-0.000894,1.000000,0.250000,1
2.590943,0.033378,0.024245,-0.021710,1.019384,1.019903,0.000915,-0.000176,-0.000220,STILL,0,-0.000902,1.000000,0.250000,1
