step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,1.716106,0.042913,-0.014669528623000083,-1.7823330192025706,0.65,5.1052759182731595,6.036233688296018,0.024627076255728624,0.017899298876813824,2801.8447471871305,0.00025354969573988654,1.0
1,3.501318,0.041431,-0.6274336575459998,-2.396456198515386,0.65,4.628189693593507,5.597020110596157,0.030391037079739232,0.02113226268736938,2799.578872885099,0.00025354969573988654,1.0
2,4.982932,0.038233,-0.7940973783629999,3.1367260781829733,0.65,4.0863296610398425,5.5792531041451525,0.01692989989523938,0.031132846240735673,2000.6437766596919,0.00022738654396637273,1.0
3,5.81394,0.04846,-0.27027668064800014,3.0202842110142294,0.65,3.5237240143176094,5.309118525669151,0.03611454236983843,0.021238148958925944,3000.0000000000005,5.6852666628597786e-05,0.0
