step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.558447,0.043993,0.0,-1.8143382878238852,0.47,4.682975704764367,5.7957476325599,0.024448172725058184,0.02320266692465262,2999.8330201750914,0.00025354969573988654,1.0
1,4.532702,0.051152,0.0,-1.8134703801971261,0.47,4.568761395640524,5.340715692190997,0.028447208119517536,0.024081452970769447,2995.4818672324445,0.00025354969573988654,1.0
2,5.327181,0.047709,0.0,-1.815374780104404,0.47,4.451928820855945,4.889157685068367,0.03538066902630836,0.025131106785803298,2982.5576054838334,0.00025346414099092923,1.0
3,6.063352,0.041523,0.0,-1.8157006482017004,0.47,4.339000804546245,4.435200053241742,0.04128027010720374,0.02693620948128952,2937.4162016414743,0.00025354625098097244,1.0
4,7.499807,0.041627,0.0,-1.8038765229812148,0.47,4.264471954530732,3.980462284896724,0.04284154983395985,0.028567808990247284,2743.685561459806,0.00025339510034947467,1.0
5,9.213475,0.043553,0.0,-1.7726642649344424,0.47,4.257087944046923,3.505008598571207,0.03538126433556371,0.030309562827646713,2115.7875422923626,0.00025286028232153273,1.0
