step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,1.328471,0.027884,0.0,-1.5707963267948966,0.47,5.300312031282764,5.505379261394825,0.03441951914259195,0.015788954664305566,9.0,0.00024369706992791,1.0
1,3.105146,0.034368,0.244637,-1.3089969389957472,0.47,5.04201816411853,5.149129737383404,0.04149175324036564,0.03382050490068089,19.0,0.0001532286393303911,1.0
2,3.939681,0.033678,-0.011546000000000056,-1.3089969389957472,0.47,4.822984149334367,4.763564564478129,0.02552059660522212,0.030000225702291876,24.0,0.00023124546382430374,1.0
3,5.5489,0.027285,-0.1443089999999998,-1.5707963267948966,0.47,4.659978825545265,4.3460347137446576,0.02789533820543938,0.0365175288310167,31.0,0.00024348278757940425,1.0
4,8.274183,0.027889,1.0217840000000002,-0.5235987755982991,0.47,4.809332994766492,4.140499641430738,0.013717657014550116,0.09276666663799636,27.0,0.0001520632160070083,1.0
