step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,1.328471,0.027884,0.0,-1.5749527038789888,0.47,5.2175106927237564,5.44831906954494,0.02468618916728145,0.01723759027591449,2356.1853122164566,0.00019888469077474857,1.0
1,3.105146,0.034368,0.244637,-1.3858326324584478,0.47,5.102451600282227,5.009587924105423,0.023348622250837624,0.0304516302947199,3000.0000000000005,5.694785305044211e-05,0.0
2,3.939681,0.033678,-0.011546000000000056,-1.4710592838162961,0.47,4.989904725030603,4.545873107599295,0.010403603943053643,0.01882831741391972,3000.0000000000005,4.062921565896977e-05,0.0
3,5.5489,0.027285,-0.1443089999999998,-1.664752256388288,0.47,4.849321518147288,4.011462180144757,0.0062513122077023815,0.016105320127425795,3000.0000000000005,0.0001520632160070083,1.0
4,8.274183,0.027889,1.0217840000000002,-0.7510165918208511,0.47,5.056118942318183,3.757989185482959,0.002386070404564434,0.0050873791583745075,3000.0000000000005,2.9116462592364835e-06,0.0
