timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,step_event
0.000311,0.000311,1.995998,0.041701,0.102216,0.977712,0.983924,0
0.131121,0.13081,1.995918,-0.03431,0.077208,0.987216,0.990825,0
0.157671,0.02655,1.995597,-0.056772,0.078179,0.993796,0.998481,0
0.184711,0.02704,1.994911,-0.047392,0.059241,1.007199,1.010052,0
0.219047,0.034336,1.993608,-0.034804,0.060455,0.979661,0.982142,0
0.245831,0.026784,1.990015,-0.042209,0.052686,1.005737,1.008,0
0.279806,0.033975,1.986198,-0.033076,0.052929,1.023527,1.025428,0
0.306582,0.026776,1.982259,-0.075779,0.064583,1.051308,1.056013,0
0.340125,0.033544,1.980402,-0.01407,0.076237,0.959678,0.962804,0
0.366742,0.026616,1.978724,-0.042949,0.082064,1.053501,1.057565,0
0.393257,0.026516,1.977997,-0.00543,0.098088,0.999401,1.004217,0
0.419858,0.0266,1.979945,-0.028139,0.085706,1.023283,1.027251,0
0.453444,0.033586,1.985033,-0.000741,0.058513,0.987703,0.989435,0
0.479949,0.026505,1.98934,-0.076519,0.034719,0.977712,0.981316,0
0.506526,0.026577,1.99286,-0.039741,0.021609,1.058863,1.059829,0
0.540078,0.033552,1.993539,-0.043443,0.07041,1.047409,1.050671,0
0.566824,0.026746,1.992016,-0.031348,0.051715,1.027913,1.029691,0
0.593361,0.026537,1.990195,-0.010861,0.1061,1.038392,1.043855,0
0.619845,0.026484,1.987178,0.003637,0.078665,0.993065,0.996182,0
0.653337,0.033492,1.983459,-0.003456,0.057785,0.94335,0.945125,0
0.679812,0.026475,1.978615,0.000242,0.055842,0.947981,0.949624,0
0.706279,0.026467,1.973731,0.009455,0.069681,0.957729,0.960307,0
0.732881,0.026603,1.969194,0.014304,0.076722,0.999401,1.002443,0
0.766374,0.033493,1.965437,-0.001234,0.092261,1.00793,1.012145,0
0.79319,0.026816,1.961942,-0.008392,0.112413,1.038149,1.044251,0
0.819663,0.026472,1.960335,-0.02962,0.070167,1.025476,1.028301,0
0.853404,0.033741,1.958664,-0.016785,0.088619,1.003544,1.007589,0
0.879886,0.026483,1.95758,-0.007899,0.081578,0.979174,0.982598,0
0.906462,0.026576,1.957218,-0.025671,0.079393,1.001838,1.005306,0
0.933252,0.02679,1.95545,-0.038013,0.072109,0.941401,0.944924,0
0.966761,0.033509,1.953388,-0.017525,0.074537,0.990871,0.993826,0
0.993292,0.026531,1.951502,-0.012342,0.080364,0.995989,0.999302,0
1.019771,0.026479,1.949489,-0.005184,0.085949,0.992577,0.996305,0
1.053324,0.033554,1.948706,-0.0,0.086677,0.998913,1.002667,0
1.080038,0.026714,1.948376,-0.015304,0.099302,1.002325,1.007348,0
1.108835,0.028797,1.954459,0.005091,0.148103,0.989165,1.000204,0
1.143458,0.034623,1.968764,0.074916,-0.030877,0.921174,0.924731,0
1.173379,0.029922,1.975255,-0.083924,0.02865,0.916056,0.920339,0
1.206412,0.033033,1.97925,-0.060968,0.032534,1.081283,1.083489,0
1.239182,0.03277,1.978046,0.02182,0.030592,0.963577,0.96431,0
1.269943,0.030761,1.975387,0.04267,0.063369,0.955048,0.958099,0
1.302226,0.032283,1.974537,-0.011601,0.058999,0.991846,0.993667,0
1.330827,0.028601,1.974085,-0.041962,0.048073,0.985754,0.987817,0
1.369497,0.03867,1.974893,-0.024684,0.103672,1.000863,1.006521,0
1.401938,0.032441,1.97477,-0.007158,0.118483,0.988678,0.995778,0
1.437646,0.035708,1.975976,-0.011108,0.091776,1.011342,1.015558,0
1.471941,0.034295,1.977316,0.006061,0.114113,0.989653,0.996229,0
1.499137,0.027196,1.979017,-0.000494,0.094446,0.969182,0.973773,0
1.529738,0.030601,1.98194,0.020365,0.084006,0.960166,0.964049,0
1.556733,0.026995,1.985669,-0.01481,0.002671,0.981124,0.981239,0
1.583266,0.026533,1.989684,-0.025424,0.049287,1.002081,1.003615,0
1.616947,0.033682,1.991804,-0.047392,0.038604,1.026451,1.02827,0
1.643431,0.026483,1.992699,-0.044677,0.039332,1.010123,1.011876,0
1.669934,0.026503,1.991274,-0.022709,0.059241,1.017434,1.019411,0
1.70894,0.039006,1.990324,-0.053317,0.053414,1.003056,1.005891,0
1.737301,0.028361,1.989721,-0.062696,0.061427,0.937745,0.941844,0
1.765598,0.028296,1.989959,-0.038506,0.069439,0.977955,0.981173,0
1.793232,0.027635,1.991024,-0.015057,0.072595,0.989653,0.992426,0
1.821064,0.027832,1.995773,-0.028633,0.067496,0.999644,1.00233,0
1.85223,0.031166,1.998963,-0.0585,0.062883,1.01646,1.020082,0
1.881081,0.028851,2.001891,-0.018513,0.058999,0.937258,0.939296,0
1.91577,0.034689,2.003638,-0.013082,0.033991,0.980149,0.980825,0
1.950532,0.034762,2.003693,-0.006171,0.029621,1.057401,1.057833,0
1.985132,0.034599,2.001301,-0.043443,0.036419,1.004275,1.005873,0
2.021161,0.036029,1.999527,-0.044677,0.042489,1.00988,1.01176,0
2.053614,0.032453,1.997879,-0.06393,0.053172,1.014266,1.017669,0
2.081054,0.02744,1.995352,-0.081209,0.054628,0.99209,0.996906,0
2.114664,0.03361,1.993338,-0.032582,0.063369,0.966502,0.969125,0
2.143002,0.028338,1.99297,0.003394,0.06434,0.965771,0.967917,0
2.177864,0.034862,1.99491,0.010425,0.075751,1.015972,1.018846,0
2.210352,0.032489,1.997122,-0.003949,0.047587,1.001107,1.002245,0
2.237975,0.027622,1.996991,-0.032335,0.018695,1.000132,1.000829,0
2.272777,0.034802,1.995244,-0.020487,0.013596,0.991846,0.992151,0
2.304675,0.031898,1.992211,-0.067633,-0.001689,0.985023,0.987343,0
2.334702,0.030027,1.985544,-0.056279,0.008498,0.999888,1.001507,0
2.365563,0.030861,1.980349,-0.012095,0.031077,1.003056,1.00361,0
2.392119,0.026556,1.978977,-0.002715,0.038361,1.00793,1.008664,0
2.425653,0.033533,1.980684,-0.009133,0.048073,1.019384,1.020558,0
2.452163,0.026511,1.981528,-0.06319,0.042974,1.010123,1.01301,0
2.479005,0.026842,1.980757,-0.078,0.013596,0.988678,0.991843,0
2.505599,0.026594,1.982434,-0.050848,-0.00193,0.985266,0.986579,0
2.539219,0.03362,1.983646,-0.06862,0.002185,1.014266,1.016587,0
2.565954,0.026734,1.981695,-0.067139,0.012382,1.021333,1.023613,0
2.592485,0.026531,1.979441,-0.068127,-0.013509,1.008417,1.010806,0
2.626002,0.033517,1.97781,-0.050601,-0.020987,0.981855,0.983382,0
2.652567,0.026565,1.977593,-0.051342,-0.02557,0.970157,0.971851,0
2.679089,0.026522,1.974552,-0.084665,-0.017851,0.966745,0.97061,0
2.705632,0.026543,1.970322,-0.062696,-0.008443,0.958216,0.960302,0
2.739289,0.033657,1.969044,-0.038013,-0.011579,0.962602,0.963422,0
2.765835,0.026546,1.968817,-0.050601,0.060941,0.999644,1.002778,0
2.792331,0.026496,1.968819,-0.058253,0.002185,1.025233,1.026889,0
2.826086,0.033755,1.969378,-0.052823,-0.000965,1.0323,1.033651,0
2.852731,0.026645,1.970369,-0.054304,-0.002171,1.022796,1.024239,0
2.879257,0.026526,1.96994,-0.076272,-0.00796,0.997939,1.000881,0
2.905767,0.026511,1.968228,-0.0585,-0.007719,0.974056,0.975842,0
2.939363,0.033596,1.966905,-0.0585,0.000971,0.977712,0.979461,0
2.965969,0.026606,1.965351,-0.058994,0.008741,0.981367,0.983178,0
2.992801,0.026832,1.964031,-0.031595,0.021851,0.983317,0.984067,0
3.026318,0.033517,1.96476,-0.014563,0.022094,0.99867,0.99902,0
3.053038,0.02672,1.965895,-0.028386,0.034719,1.018409,1.019396,0
3.07973,0.026692,1.967105,-0.025424,0.019666,1.009149,1.00966,0
3.114686,0.034956,1.969064,-0.024684,0.02088,0.993308,0.993834,0
3.148244,0.033558,1.969588,-0.036038,0.01044,0.985266,0.98598,0
3.174805,0.026561,1.969004,-0.030114,0.022823,0.986729,0.987452,0
3.201462,0.026657,1.96957,-0.002222,0.041032,0.999401,1.000245,0
3.235106,0.033643,1.97039,-0.001975,0.04176,0.99209,0.99297,0
3.262482,0.027376,1.971538,-0.00543,0.035448,0.991115,0.991764,0
3.289131,0.02665,1.973864,0.001212,0.029621,0.999157,0.999597,0
3.315796,0.026664,1.978221,0.002182,0.029135,0.999644,1.000071,0
3.342669,0.026873,1.986038,-0.041468,0.036419,1.01256,1.014063,0
3.369311,0.026643,1.993247,-0.103671,0.017238,1.018165,1.023575,0
