model,n_steps,walkable_ratio,path_length_m,runtime_s,runtime_ms_per_step,mean_neff,final_x_m,final_y_m
particle,10,1.0,4.242898396188666,0.08174990001134574,8.174990001134574,2658.941600326645,4.129443869483999,1.6588768724321405
discrete_bayes,10,1.0,3.7913270005669486,0.030901500023901463,3.0901500023901463,50.7,4.363573381592761,1.9685974311621173
