t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,gyro_mag_rads,yaw_rate_used,gyro_bias,hp,state,step,step_count,heading_rad,pos_x_m,pos_y_m,walkable,sf_yaw_deg
0.001199,0.001199,0.004122,-0.060789,1.239686,1.241182,-0.562269,0.742212,0.009677,0.931192,0.009677,0.000000,0.217064,MOVE,0,0,0.000012,1.000000,0.700000,1,118.089
0.166519,0.165320,0.032730,-0.065372,1.000132,1.002800,0.020098,-0.020970,-0.002178,0.029128,-0.002178,0.000000,0.197878,MOVE,0,0,-0.000349,1.000000,0.700000,1,118.031
0.213712,0.047193,0.031760,-0.065855,0.999888,1.002558,0.017930,-0.017879,0.000007,0.025321,0.000007,0.000000,0.180392,MOVE,0,0,-0.000348,1.000000,0.700000,1,118.297
0.261001,0.047289,0.034185,-0.067302,0.999157,1.002005,0.018223,-0.018704,-0.000599,0.026120,-0.000599,0.000000,0.164157,MOVE,0,0,-0.000377,1.000000,0.700000,1,118.739
0.313202,0.052201,0.032488,-0.067543,0.998913,1.001721,0.017014,-0.016611,-0.000279,0.023780,-0.000279,0.000000,0.149290,MOVE,0,0,-0.000391,1.000000,0.700000,1,119.197
0.354019,0.040817,0.032973,-0.068267,0.998670,1.001543,0.015290,-0.016688,-0.002022,0.022724,-0.002022,0.000000,0.135750,MOVE,0,0,-0.000474,1.000000,0.700000,1,119.527
0.401396,0.047377,0.032003,-0.066096,0.999644,1.002338,0.016043,-0.015821,-0.001035,0.022556,-0.001035,0.000000,0.124280,MOVE,0,0,-0.000523,1.000000,0.700000,1,120.170
0.451491,0.050095,0.034185,-0.067543,1.001107,1.003965,0.013192,-0.016608,-0.001259,0.021247,-0.001259,0.000000,0.115420,MOVE,0,0,-0.000586,1.000000,0.700000,1,120.531
0.491140,0.039649,0.032488,-0.068026,1.000376,1.003212,0.014320,-0.014013,-0.000311,0.020038,-0.000311,0.000000,0.106769,MOVE,0,0,-0.000598,1.000000,0.700000,1,120.784
0.534764,0.043624,0.032973,-0.067302,1.000132,1.002936,0.011823,-0.012993,-0.000866,0.017589,-0.000866,0.000000,0.098734,MOVE,0,0,-0.000636,1.000000,0.700000,1,120.130
0.582066,0.047302,0.033458,-0.067784,1.000132,1.002985,0.012703,-0.013841,-0.002034,0.018896,-0.002034,0.000000,0.091547,MOVE,0,0,-0.000732,1.000000,0.700000,1,119.126
0.625009,0.042943,0.031760,-0.067302,1.000376,1.003140,0.010476,-0.011062,0.002196,0.015393,0.002196,0.000000,0.085218,MOVE,0,0,-0.000638,1.000000,0.700000,1,118.101
0.669163,0.044153,0.032488,-0.068026,1.001350,1.004184,0.009952,-0.014698,-0.000851,0.017771,-0.000851,0.000000,0.080462,MOVE,0,0,-0.000675,1.000000,0.700000,1,117.322
0.719166,0.050004,0.034670,-0.068026,1.002569,1.005472,0.012091,-0.011672,-0.001074,0.016840,-0.001074,0.000000,0.077340,MOVE,0,0,-0.000729,1.000000,0.700000,1,116.969
0.763292,0.044126,0.030791,-0.067302,1.003056,1.005783,0.010075,-0.010227,-0.000435,0.014363,-0.000435,0.000000,0.074811,MOVE,0,0,-0.000748,1.000000,0.700000,1,116.838
0.803126,0.039834,0.033215,-0.068749,1.002813,1.005715,0.006853,-0.010011,-0.001035,0.012176,-0.001035,0.000000,0.072473,MOVE,0,0,-0.000789,1.000000,0.700000,1,116.958
0.853114,0.049988,0.032003,-0.068991,1.004275,1.007150,0.008545,-0.007758,-0.001604,0.011652,-0.001604,0.000000,0.071661,MOVE,0,0,-0.000870,1.000000,0.700000,1,116.398
