t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,gyro_mag_rads,yaw_rate_used,gyro_bias,hp,state,step,step_count,heading_rad,pos_x_m,pos_y_m,walkable,sf_yaw_deg
0.000418,0.000418,0.032245,-0.001689,1.017922,1.018434,0.013482,0.011262,-0.005403,0.018379,-0.005403,0.000000,0.016590,MOVE,0,0,-0.000002,1.000000,0.250000,1,50.384
0.155711,0.155293,0.036367,-0.012544,1.007443,1.008177,0.018689,0.011634,-0.004275,0.022425,-0.004275,0.000000,0.022291,MOVE,0,0,-0.000666,1.000000,0.250000,1,50.369
0.200474,0.044763,0.024002,0.058027,1.019628,1.021559,0.015641,0.006829,-0.004493,0.017648,-0.004493,0.000000,0.039465,MOVE,0,0,-0.000867,1.000000,0.250000,1,50.352
0.242816,0.042342,0.031033,-0.001206,1.020359,1.020831,0.013184,0.010639,-0.004245,0.017465,-0.004245,0.000000,0.054267,MOVE,0,0,-0.001047,1.000000,0.250000,1,50.355
0.299634,0.056818,0.032488,-0.000482,1.023283,1.023799,0.008677,0.007479,-0.003745,0.012052,-0.003745,0.000000,0.070259,MOVE,0,0,-0.001260,1.000000,0.250000,1,50.336
0.338591,0.038958,0.034670,-0.000965,1.020115,1.020704,0.011490,0.008294,-0.004740,0.014943,-0.004740,0.000000,0.081867,MOVE,0,0,-0.001444,1.000000,0.250000,1,50.268
0.389710,0.051119,0.033458,-0.002412,1.021821,1.022371,0.007994,0.004551,-0.003459,0.009827,-0.003459,0.000000,0.093814,MOVE,0,0,-0.001621,1.000000,0.250000,1,50.160
0.435861,0.046150,0.033700,-0.002653,1.019628,1.020188,0.008768,0.008455,-0.080750,0.081664,-0.080750,0.000000,0.102602,MOVE,0,0,-0.005348,1.000000,0.250000,1,50.087
0.483446,0.047585,0.033700,-0.000000,1.019384,1.019941,0.011011,0.007780,-0.000946,0.013515,-0.000946,0.000000,0.110289,MOVE,0,0,-0.005393,1.000000,0.250000,1,50.092
0.526847,0.043401,0.034185,-0.001206,1.017678,1.018253,0.009939,0.006483,-0.000860,0.011898,-0.000860,0.000000,0.115687,MOVE,0,0,-0.005430,1.000000,0.250000,1,50.108
