t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,gyro_mag_rads,yaw_rate_used,gyro_bias,hp,state,step,step_count,heading_rad,pos_x_m,pos_y_m,walkable,sf_yaw_deg
0.000366,0.000366,0.004122,-0.012061,1.018409,1.018489,-0.003876,-0.004832,0.080010,0.080250,-0.004832,0.000000,0.016640,MOVE,0,0,-0.000002,1.000000,0.250000,1,57.055
0.148349,0.147983,0.003394,-0.012061,1.018165,1.018242,-0.002552,-0.003097,-0.074562,0.074670,-0.003097,0.000000,0.031394,MOVE,0,0,-0.000460,1.000000,0.250000,1,56.974
0.192487,0.044137,0.003637,-0.010614,1.019140,1.019202,-0.002160,-0.005296,0.003514,0.006713,-0.005296,0.000000,0.045537,MOVE,0,0,-0.000694,1.000000,0.250000,1,56.964
0.235363,0.042876,0.003637,-0.012303,1.018653,1.018734,-0.001653,-0.004182,0.003660,0.005798,-0.004182,0.000000,0.057843,MOVE,0,0,-0.000873,1.000000,0.250000,1,56.983
0.277880,0.042517,0.005091,-0.011338,1.017434,1.017510,-0.001220,-0.004255,-0.073088,0.073222,-0.004255,0.000000,0.067818,MOVE,0,0,-0.001054,1.000000,0.250000,1,56.922
0.328679,0.050799,0.003637,-0.010855,1.017678,1.017743,-0.004428,-0.003729,-0.071046,0.071281,-0.003729,0.000000,0.077005,MOVE,0,0,-0.001243,1.000000,0.250000,1,56.862
0.371382,0.042703,0.004364,-0.011096,1.018165,1.018235,-0.001520,-0.002943,0.080424,0.080492,-0.002943,0.000000,0.085716,MOVE,0,0,-0.001369,1.000000,0.250000,1,56.927
0.414250,0.042868,0.004122,-0.011579,1.019628,1.019702,-0.001715,-0.003698,0.002058,0.004566,-0.003698,0.000000,0.094876,MOVE,0,0,-0.001528,1.000000,0.250000,1,56.923
0.457717,0.043468,0.004606,-0.010614,1.019871,1.019937,-0.000463,-0.001092,0.003707,0.003892,-0.001092,0.000000,0.103331,MOVE,0,0,-0.001575,1.000000,0.250000,1,56.901
0.500305,0.042588,0.004606,-0.011096,1.017678,1.017749,-0.004289,-0.001874,0.003528,0.005861,-0.001874,0.000000,0.108972,MOVE,0,0,-0.001655,1.000000,0.250000,1,56.874
0.545677,0.045372,0.004849,-0.011338,1.017678,1.017753,-0.001123,-0.004464,0.002463,0.005220,-0.004464,0.000000,0.114053,MOVE,0,0,-0.001857,1.000000,0.250000,1,56.875
0.588956,0.043279,0.003394,-0.011338,1.017434,1.017503,-0.002233,-0.003692,0.003221,0.005384,-0.003692,0.000000,0.118400,MOVE,0,0,-0.002017,1.000000,0.250000,1,56.960
0.638866,0.049910,0.005819,-0.011338,1.017922,1.018001,-0.000645,-0.001702,0.002432,0.003037,-0.001702,0.000000,0.122762,MOVE,0,0,-0.002102,1.000000,0.250000,1,57.011
0.682157,0.043291,0.003637,-0.012303,1.016703,1.016784,-0.002966,-0.002758,0.002361,0.004688,-0.002758,0.000000,0.125591,MOVE,0,0,-0.002221,1.000000,0.250000,1,57.084
0.724658,0.042501,0.003879,-0.011338,1.019628,1.019698,-0.002313,0.000066,0.001103,0.002563,0.000066,0.000000,0.130760,MOVE,0,0,-0.002219,1.000000,0.250000,1,57.203
0.767852,0.043194,0.004606,-0.011579,1.018409,1.018485,-0.002213,-0.002245,0.000368,0.003174,-0.002245,0.000000,0.134321,MOVE,0,0,-0.002316,1.000000,0.250000,1,57.252
0.810326,0.042474,0.005091,-0.012544,1.019140,1.019230,-0.000882,-0.000316,0.000661,0.001147,-0.000316,0.000000,0.138196,MOVE,0,0,-0.002329,1.000000,0.250000,1,57.299
0.866111,0.055785,0.004122,-0.010131,1.018409,1.018468,-0.002951,-0.001407,-0.002406,0.004059,-0.001407,0.000000,0.140998,MOVE,0,0,-0.002408,1.000000,0.250000,1,57.424
0.914082,0.047971,0.002667,-0.011820,1.017678,1.017750,-0.001964,-0.003099,-0.002666,0.004535,-0.003099,0.000000,0.142873,MOVE,0,0,-0.002556,1.000000,0.250000,1,57.392
0.958194,0.044111,0.005819,-0.011338,1.019628,1.019707,0.000161,-0.002370,-0.000060,0.002376,-0.002370,0.000000,0.146322,MOVE,0,0,-0.002661,1.000000,0.250000,1,57.288
1.010393,0.052199,0.004849,-0.012544,1.018409,1.018498,-0.000693,-0.001972,-0.000052,0.002091,-0.001972,0.000000,0.148338,MOVE,0,0,-0.002764,1.000000,0.250000,1,57.342
1.059715,0.049322,0.004122,-0.012061,1.018165,1.018245,0.000533,-0.002495,-0.002471,0.003552,-0.002495,0.000000,0.149925,MOVE,0,0,-0.002887,1.000000,0.250000,1,57.323
1.103402,0.043687,0.003879,-0.011579,1.017922,1.017995,-0.000380,-0.000880,-0.001428,0.001720,-0.000880,0.000000,0.151128,MOVE,0,0,-0.002925,1.000000,0.250000,1,57.306
1.146832,0.043431,0.003879,-0.012303,1.018409,1.018491,-0.000977,-0.002309,-0.002528,0.003560,-0.002309,0.000000,0.152657,MOVE,0,0,-0.003025,1.000000,0.250000,1,57.300
1.195390,0.048558,0.004849,-0.011579,1.019140,1.019218,0.001744,-0.000122,0.074118,0.074139,-0.000122,0.000000,0.154687,MOVE,0,0,-0.003031,1.000000,0.250000,1,57.357
1.241963,0.046573,0.003394,-0.010131,1.017191,1.017247,-0.001846,-0.003089,-0.002134,0.004183,-0.003089,0.000000,0.154740,MOVE,0,0,-0.003175,1.000000,0.250000,1,57.326
1.293467,0.051504,0.003637,-0.011338,1.018409,1.018479,-0.002675,-0.000893,-0.001973,0.003442,-0.000893,0.000000,0.155897,MOVE,0,0,-0.003221,1.000000,0.250000,1,57.306
1.346982,0.053515,0.004364,-0.011820,1.019140,1.019218,-0.002012,-0.001114,-0.003616,0.004286,-0.001114,0.000000,0.157604,MOVE,0,0,-0.003281,1.000000,0.250000,1,57.305
1.390680,0.043699,0.003152,-0.009890,1.017434,1.017487,-0.001041,-0.001375,0.074025,0.074045,-0.001375,0.000000,0.157582,MOVE,0,0,-0.003341,1.000000,0.250000,1,57.298
1.437893,0.047213,0.004606,-0.011096,1.016703,1.016774,-0.004263,-0.002483,-0.001783,0.005245,-0.002483,0.000000,0.156921,MOVE,0,0,-0.003458,1.000000,0.250000,1,57.331
1.481677,0.043784,0.005091,-0.011820,1.017191,1.017272,-0.001729,-0.002705,-0.003781,0.004960,-0.002705,0.000000,0.156773,MOVE,0,0,-0.003577,1.000000,0.250000,1,57.369
1.524478,0.042801,0.004849,-0.012303,1.017434,1.017520,-0.001989,-0.001740,-0.001226,0.002913,-0.001740,0.000000,0.156864,MOVE,0,0,-0.003651,1.000000,0.250000,1,57.374
1.567377,0.042899,0.004849,-0.010614,1.017191,1.017258,-0.002240,-0.000172,-0.002071,0.003056,-0.000172,0.000000,0.156710,MOVE,0,0,-0.003658,1.000000,0.250000,1,57.375
1.610925,0.043548,0.004122,-0.011338,1.017191,1.017262,0.000279,-0.000183,-0.003140,0.003157,-0.000183,0.000000,0.156575,MOVE,0,0,-0.003666,1.000000,0.250000,1,57.378
1.660421,0.049496,0.003394,-0.011096,1.017434,1.017501,0.001476,0.000426,-0.002103,0.002605,0.000426,0.000000,0.156668,MOVE,0,0,-0.003645,1.000000,0.250000,1,57.405
1.704090,0.043669,0.004364,-0.011579,1.016947,1.017022,0.001188,-0.001652,-0.002009,0.002859,-0.001652,0.000000,0.156321,MOVE,0,0,-0.003717,1.000000,0.250000,1,57.432
1.747599,0.043509,0.004606,-0.011096,1.019140,1.019211,-0.000632,-0.001005,-0.002509,0.002776,-0.001005,0.000000,0.157979,MOVE,0,0,-0.003761,1.000000,0.250000,1,57.449
1.789999,0.042400,0.003637,-0.010855,1.017922,1.017986,-0.001147,-0.000675,-0.001810,0.002246,-0.000675,0.000000,0.158368,MOVE,0,0,-0.003790,1.000000,0.250000,1,57.400
1.832728,0.042729,0.004364,-0.011096,1.019140,1.019210,-0.000815,-0.000661,-0.001956,0.002220,-0.000661,0.000000,0.159821,MOVE,0,0,-0.003818,1.000000,0.250000,1,57.375
1.886009,0.053282,0.005819,-0.010373,1.018165,1.018235,-0.001420,-0.000619,-0.001609,0.002233,-0.000619,0.000000,0.160250,MOVE,0,0,-0.003851,1.000000,0.250000,1,57.346
1.929335,0.043325,0.004364,-0.011338,1.018653,1.018725,0.001328,-0.000589,-0.000983,0.001754,-0.000589,0.000000,0.161078,MOVE,0,0,-0.003877,1.000000,0.250000,1,57.314
1.973125,0.043791,0.003879,-0.011579,1.017678,1.017751,-0.000805,-0.002041,-0.001245,0.002522,-0.002041,0.000000,0.160946,MOVE,0,0,-0.003966,1.000000,0.250000,1,57.295
2.015995,0.042869,0.003637,-0.011338,1.019140,1.019210,-0.001136,-0.000788,-0.001518,0.002053,-0.000788,0.000000,0.162140,MOVE,0,0,-0.004000,1.000000,0.250000,1,57.269
2.066394,0.050400,0.002909,-0.010855,1.018653,1.018715,-0.000244,-0.000464,-0.000232,0.000573,-0.000464,0.000000,0.162770,MOVE,0,0,-0.004023,1.000000,0.250000,1,57.271
2.115833,0.049438,0.004122,-0.010855,1.018653,1.018719,-0.002914,-0.000736,-0.076817,0.076876,-0.000736,0.000000,0.163340,MOVE,0,0,-0.004059,1.000000,0.250000,1,57.241
2.157362,0.041530,0.004364,-0.011338,1.018897,1.018969,-0.000157,-0.000424,0.000109,0.000465,-0.000424,0.000000,0.164078,MOVE,0,0,-0.004077,1.000000,0.250000,1,57.272
2.195187,0.037825,0.003637,-0.011579,1.018165,1.018238,-0.000459,-0.001599,0.000669,0.001793,-0.001599,0.000000,0.164084,MOVE,0,0,-0.004138,1.000000,0.250000,1,57.295
2.243508,0.048320,0.004364,-0.011579,1.018409,1.018484,0.000700,0.000562,0.001242,0.001532,0.000562,0.000000,0.164311,MOVE,0,0,-0.004110,1.000000,0.250000,1,57.319
2.281463,0.037956,0.004606,-0.011338,1.017922,1.017995,0.000079,-0.001232,-0.000402,0.001299,-0.001232,0.000000,0.164076,MOVE,0,0,-0.004157,1.000000,0.250000,1,57.402
2.329943,0.048480,0.004122,-0.010373,1.018165,1.018227,-0.001967,0.000301,0.000509,0.002054,0.000301,0.000000,0.164072,MOVE,0,0,-0.004143,1.000000,0.250000,1,57.405
2.374805,0.044862,0.003394,-0.012061,1.017922,1.017999,0.000498,-0.000290,0.000804,0.000989,-0.000290,0.000000,0.163864,MOVE,0,0,-0.004156,1.000000,0.250000,1,57.391
2.416150,0.041345,0.004364,-0.012303,1.018409,1.018493,0.000848,0.000030,-0.001599,0.001810,0.000030,0.000000,0.164121,MOVE,0,0,-0.004154,1.000000,0.250000,1,57.374
2.461063,0.044913,0.002909,-0.012544,1.017434,1.017516,0.000221,-0.000242,-0.000038,0.000330,-0.000242,0.000000,0.163473,MOVE,0,0,-0.004165,1.000000,0.250000,1,57.289
2.502391,0.041328,0.004606,-0.011820,1.020602,1.020681,-0.000690,0.000381,0.000339,0.000858,0.000381,0.000000,0.165739,MOVE,0,0,-0.004149,1.000000,0.250000,1,57.267
2.547430,0.045039,0.005334,-0.010614,1.019628,1.019697,-0.000952,-0.001430,0.000211,0.001731,-0.001430,0.000000,0.166892,MOVE,0,0,-0.004214,1.000000,0.250000,1,57.313
2.595909,0.048479,0.004849,-0.010373,1.018409,1.018473,0.001108,-0.000234,-0.000991,0.001504,-0.000234,0.000000,0.166829,MOVE,0,0,-0.004225,1.000000,0.250000,1,57.311
2.633733,0.037824,0.003637,-0.010855,1.018653,1.018717,0.000492,-0.000803,-0.000086,0.000945,-0.000803,0.000000,0.166992,MOVE,0,0,-0.004256,1.000000,0.250000,1,57.317
2.682075,0.048342,0.004122,-0.011579,1.018897,1.018971,-0.001274,0.000669,-0.076358,0.076371,0.000669,0.000000,0.167366,MOVE,0,0,-0.004223,1.000000,0.250000,1,57.254
2.726902,0.044827,0.005576,-0.010855,1.020359,1.020432,0.000842,0.001261,-0.000946,0.001787,0.001261,0.000000,0.169018,MOVE,0,0,-0.004167,1.000000,0.250000,1,57.257
2.768269,0.041366,0.004122,-0.011096,1.017434,1.017503,0.001741,-0.000858,0.001444,0.002419,-0.000858,0.000000,0.167869,MOVE,0,0,-0.004202,1.000000,0.250000,1,57.275
2.813050,0.044781,0.004606,-0.011338,1.019140,1.019214,-0.000047,-0.001136,0.002273,0.002541,-0.001136,0.000000,0.168375,MOVE,0,0,-0.004253,1.000000,0.250000,1,57.279
2.854530,0.041479,0.005576,-0.010373,1.018897,1.018965,-0.000616,0.000972,0.000119,0.001157,0.000972,0.000000,0.168605,MOVE,0,0,-0.004213,1.000000,0.250000,1,57.286
2.899348,0.044818,0.004122,-0.011096,1.018897,1.018965,-0.000865,-0.000858,0.001289,0.001774,-0.000858,0.000000,0.168814,MOVE,0,0,-0.004251,1.000000,0.250000,1,57.354
