t,dt,acc_x_g,acc_y_g,acc_z_g,acc_mag_g,gyro_x_rads,gyro_y_rads,gyro_z_rads,state,step,heading_rad,pos_x_m,pos_y_m,walkable
1.606890,0.040742,0.118071,-0.085153,1.012560,1.022971,-0.021148,0.061377,-0.012007,MOVE,0,-0.004950,1.000000,0.250000,1
1.646375,0.039485,0.099160,-0.079846,1.007686,1.015697,0.025517,-0.014022,-0.014590,MOVE,0,-0.005526,1.000000,0.250000,1
1.683402,0.037027,0.112980,-0.080087,1.005737,1.015227,-0.000631,0.027929,-0.011726,MOVE,0,-0.005960,1.000000,0.250000,1
1.714745,0.031343,0.105464,-0.081776,1.009392,1.018176,-0.006780,0.032043,-0.006281,MOVE,0,-0.006157,1.000000,0.250000,1
1.746745,0.032001,0.096251,-0.076710,1.013779,1.021223,0.001814,0.005772,-0.001913,MOVE,0,-0.006218,1.000000,0.250000,1
1.779665,0.032920,0.094796,-0.080811,1.014754,1.022371,-0.001580,-0.002894,0.002575,MOVE,0,-0.006134,1.000000,0.250000,1
1.811044,0.031379,0.112980,-0.090218,1.001594,1.011975,0.004998,0.008374,-0.003365,MOVE,0,-0.006239,1.000000,0.250000,1
1.842379,0.031335,0.105706,-0.082017,1.009636,1.018462,0.008887,-0.001444,-0.011541,MOVE,0,-0.006601,1.000000,0.250000,1
1.873729,0.031350,0.096493,-0.079605,1.011098,1.018807,0.007480,-0.000189,0.001336,MOVE,0,-0.006559,1.000000,0.250000,1
1.905800,0.032071,0.102797,-0.075262,1.003787,1.011840,-0.009470,0.015122,0.005425,STILL,0,-0.006385,1.000000,0.250000,1
1.937200,0.031400,0.096978,-0.079846,1.009392,1.017179,-0.000120,-0.001550,0.004073,STILL,0,-0.006257,1.000000,0.250000,1
1.973793,0.036593,0.097948,-0.078398,1.011829,1.019578,0.002816,-0.008272,0.007581,STILL,0,-0.005980,1.000000,0.250000,1
2.011511,0.037718,0.101100,-0.081776,0.999401,1.007825,0.011237,-0.020573,0.005115,STILL,0,-0.005787,1.000000,0.250000,1
2.042910,0.031399,0.107646,-0.107104,1.003544,1.014967,0.031954,-0.019578,-0.006169,STILL,0,-0.005980,1.000000,0.250000,1
2.074271,0.031362,0.086553,-0.074056,1.022065,1.028393,0.023989,-0.032045,0.004131,STILL,0,-0.005851,1.000000,0.250000,1
2.110399,0.036127,0.102797,-0.095525,1.011829,1.021514,0.041975,-0.064575,-0.006142,STILL,0,-0.006073,1.000000,0.250000,1
2.142430,0.032032,0.118314,-0.074539,0.936771,0.947150,0.025176,-0.034643,-0.000644,MOVE,0,-0.006093,1.000000,0.250000,1
2.178057,0.035627,0.112010,-0.077434,1.007199,1.016362,-0.010725,0.026031,0.005904,MOVE,0,-0.005883,1.000000,0.250000,1
2.212614,0.034557,0.093099,-0.082499,1.022552,1.030090,0.016215,-0.031017,-0.000559,MOVE,0,-0.005902,1.000000,0.250000,1
2.248349,0.035735,0.098191,-0.072127,1.018897,1.026155,0.048400,-0.082475,-0.006670,MOVE,0,-0.006141,1.000000,0.250000,1
2.281307,0.032958,0.117829,-0.002171,0.997451,1.004389,-0.011160,0.025342,0.010129,MOVE,0,-0.005807,1.000000,0.250000,1
2.313503,0.032196,0.096009,-0.069714,1.020359,1.027234,-0.010722,0.013553,-0.003808,MOVE,0,-0.005930,1.000000,0.250000,1
2.349565,0.036062,0.124375,-0.072609,0.992334,1.002730,0.012769,0.024023,0.004076,MOVE,0,-0.005783,1.000000,0.250000,1
2.388771,0.039206,0.065218,-0.091183,1.009149,1.015357,0.005347,-0.002807,-0.003200,MOVE,0,-0.005908,1.000000,0.250000,1
2.427103,0.038332,0.094311,-0.052105,1.009392,1.015127,-0.000070,0.003971,0.007392,MOVE,0,-0.005625,1.000000,0.250000,1
2.463392,0.036289,0.096009,-0.055964,1.014997,1.021063,-0.013314,0.009467,0.013321,MOVE,0,-0.005141,1.000000,0.250000,1
2.501145,0.037753,0.128981,-0.096490,1.010855,1.023608,0.011573,-0.013919,-0.001346,MOVE,0,-0.005192,1.000000,0.250000,1
2.548199,0.047055,0.121950,-0.074780,1.002569,1.012723,-0.012310,0.026636,-0.003093,MOVE,0,-0.005338,1.000000,0.250000,1
2.585111,0.036911,0.111283,-0.073333,1.009636,1.018394,-0.004528,0.005184,-0.005717,STILL,0,-0.005549,1.000000,0.250000,1
2.616521,0.031410,0.104979,-0.005789,1.010123,1.015580,0.007078,-0.010087,0.000391,STILL,0,-0.005536,1.000000,0.250000,1
2.650109,0.033588,0.102797,-0.064890,1.020846,1.028059,-0.006833,0.013902,0.005983,STILL,0,-0.005335,1.000000,0.250000,1
2.683400,0.033292,0.105706,-0.068991,1.016460,1.024267,0.010081,-0.004443,0.003707,STILL,0,-0.005212,1.000000,0.250000,1
2.716334,0.032933,0.120011,-0.070197,1.006955,1.016508,0.004900,0.002718,0.005955,STILL,0,-0.005016,1.000000,0.250000,1
2.747677,0.031343,0.119526,-0.083464,1.005981,1.016489,-0.009211,0.022326,0.006637,STILL,0,-0.004808,1.000000,0.250000,1
2.779117,0.031440,0.112010,-0.083223,1.014510,1.024062,0.004879,-0.002952,0.001372,STILL,0,-0.004765,1.000000,0.250000,1
2.810443,0.031326,0.112252,-0.073333,1.008905,1.017776,-0.000053,0.004023,0.001947,STILL,0,-0.004704,1.000000,0.250000,1
2.841805,0.031363,0.111283,-0.073091,1.008661,1.017410,-0.004740,0.011815,0.002137,STILL,0,-0.004637,1.000000,0.250000,1
2.873208,0.031403,0.111525,-0.070679,1.009149,1.017750,-0.004577,0.008704,0.003567,STILL,0,-0.004525,1.000000,0.250000,1
2.904541,0.031333,0.111525,-0.076951,1.014266,1.023277,-0.011276,0.020110,0.004639,STILL,0,-0.004379,1.000000,0.250000,1
2.937090,0.032548,0.108131,-0.070920,1.009880,1.018125,0.002553,0.000051,0.003945,STILL,0,-0.004251,1.000000,0.250000,1
2.971946,0.034856,0.113465,-0.060065,0.977468,0.985863,-0.101809,0.198086,0.020600,STILL,0,-0.003533,1.000000,0.250000,1
3.003685,0.031739,0.088735,-0.075021,1.032544,1.039061,-0.147624,0.237182,0.023960,STILL,0,-0.002772,1.000000,0.250000,1
3.036902,0.033217,0.081704,-0.098903,1.003056,1.011226,0.072815,-0.024827,-0.005032,STILL,0,-0.002939,1.000000,0.250000,1
3.083346,0.046445,0.136739,-0.078398,1.013291,1.025477,-0.006897,-0.018337,-0.000958,STILL,0,-0.002984,1.000000,0.250000,1
3.127407,0.044061,0.080492,-0.087806,1.028401,1.035276,0.065251,-0.118902,-0.015159,STILL,0,-0.003652,1.000000,0.250000,1
3.158827,0.031420,0.116374,-0.061754,1.008905,1.017470,0.021145,-0.062303,-0.006932,STILL,0,-0.003870,1.000000,0.250000,1
3.190438,0.031611,0.109828,-0.066578,1.011586,1.019706,0.055129,-0.087814,-0.010539,STILL,0,-0.004203,1.000000,0.250000,1
3.222696,0.032258,0.104009,-0.061995,1.012073,1.019291,0.021263,-0.038590,-0.003982,STILL,0,-0.004331,1.000000,0.250000,1
3.257958,0.035262,0.116859,-0.069714,0.987460,0.996791,-0.038451,0.053126,0.014028,STILL,0,-0.003837,1.000000,0.250000,1
3.289306,0.031348,0.091887,-0.103486,1.021577,1.030909,0.033257,-0.072668,-0.021514,STILL,0,-0.004511,1.000000,0.250000,1
3.320655,0.031349,0.104979,-0.092148,0.995258,1.005013,0.071091,-0.114372,-0.005287,STILL,0,-0.004677,1.000000,0.250000,1
3.353756,0.033101,0.123890,-0.065855,1.012560,1.022235,-0.045553,0.082903,0.013931,STILL,0,-0.004216,1.000000,0.250000,1
3.386203,0.032447,0.112252,-0.069956,1.002325,1.011014,-0.035286,0.066581,0.013152,STILL,0,-0.003789,1.000000,0.250000,1
3.417547,0.031344,0.107404,-0.066578,1.010855,1.018722,0.001245,0.013765,0.006508,STILL,0,-0.003585,1.000000,0.250000,1
