timestamp,dt,heading_rad,accel_x,accel_y,accel_z,accel_norm,gyro_x_rads,gyro_y_rads,gyro_z_rads,step_event,gyro_x_kf,gyro_y_kf,gyro_z_kf,yaw_change_raw,yaw_change_kf
0.000384,0.000384,2.068401,-0.015797,0.09736,0.987216,0.992131,-0.000301,0.024032,0.001127,0,-0.00030024934676475823,0.02397206984460354,0.001124189468100667,4.32768e-07,4.316887557506561e-07
0.146728,0.146344,2.068357,-0.026411,0.10173,0.936527,0.942406,-0.015011,0.007112,-0.020213,0,-0.00766066974028945,0.015536253340542316,-0.009551722556352615,-0.002957618504,-0.0013974055970311164
0.18899,0.042263,2.067212,-0.017525,0.093961,0.996233,1.000807,0.001309,0.019646,-0.024907,0,-0.004654046148061752,0.01691383495926857,-0.014698794111609459,-0.004010263045,-0.0020186207325700667
0.231447,0.042457,2.063954,-0.022956,0.09299,0.99209,0.996703,0.012811,0.016811,-0.04602,0,-0.00023171445354819298,0.01688779704272747,-0.022629648447036743,-0.005964134185000001,-0.002979407716685906
0.273979,0.042532,2.062129,-0.012095,0.093718,0.997939,1.002402,-0.008769,0.012099,-0.044244,0,-0.001977620180696249,0.01590847037732601,-0.02704986184835434,-0.007845919993000001,-0.004129892440820113
0.312108,0.038129,2.060574,-0.017772,0.094932,0.993065,0.99775,-0.015926,0.02281,-0.033347,0,-0.00438286317512393,0.01709856279194355,-0.02813573367893696,-0.009117407756000001,-0.0052026798302643
0.35392,0.041811,2.058263,-0.010367,0.094932,0.988434,0.993037,-0.021099,0.079328,-0.060395,0,-0.006888286676257849,0.026425544172525406,-0.032970771193504333,-0.011642583101000002,-0.00658122074463591
0.399198,0.045278,2.055041,-0.02888,0.094446,1.001838,1.006694,0.003613,0.011785,-0.047798,0,-0.0054888976737856865,0.02447456307709217,-0.03494663164019585,-0.013806780945000001,-0.008163534332040697
0.447839,0.048641,2.052417,-0.031595,0.092261,0.990871,0.995659,0.026765,0.008194,-0.036544,0,-0.0015994214918464422,0.022511301562190056,-0.035139258950948715,-0.015584317649000002,-0.009872743026673793
0.485966,0.038127,2.050511,-0.023203,0.100516,0.97625,0.981685,-0.005786,0.075854,-0.029323,0,-0.002062795450910926,0.028415316715836525,-0.034495510160923004,-0.016702315670000002,-0.011187953342579304
0.527546,0.04158,2.049126,-0.046899,0.096389,0.994283,1.000045,-0.014007,0.073952,-0.038584,0,-0.0032903573010116816,0.033095333725214005,-0.034915704280138016,-0.01830663839,-0.012639748326547443
0.572639,0.045094,2.047086,-0.035051,0.098088,0.995989,1.001421,0.002973,0.027098,-0.037118,0,-0.0026867911219596863,0.03251740336418152,-0.035127926617860794,-0.019980437482000003,-0.014223807049453257
0.614304,0.041664,2.044753,-0.022215,0.098574,0.999401,1.004496,-0.003376,0.015906,-0.050728,0,-0.002749578095972538,0.031004104763269424,-0.03654909133911133,-0.022093968874000003,-0.01574658839100599
0.659833,0.04553,2.041795,-0.03357,0.094446,1.059594,1.064324,0.017702,-0.001779,-0.061587,0,-0.0009758145315572619,0.028160829097032547,-0.03872062638401985,-0.024898024984000004,-0.017509538510270414
0.701481,0.041648,2.039492,-0.035297,0.091533,0.999157,1.003962,0.005582,-0.064952,-0.019697,0,-0.0004310542135499418,0.020425908267498016,-0.03714032471179962,-0.025718365640000004,-0.019056358753867443
0.755747,0.054266,2.038445,-0.044924,0.091776,0.997207,1.002429,-0.043131,-0.043302,-0.022048,0,-0.003846336854621768,0.015328740701079369,-0.03593318909406662,-0.026914822408000003,-0.021006309193246062
0.805031,0.049284,2.038364,-0.046899,0.091776,0.99209,0.997429,-0.04441,-0.023242,-0.008529,0,-0.00698445551097393,0.012344799935817719,-0.033813122659921646,-0.027335165644000004,-0.02267275513041764
0.843064,0.038033,2.038257,-0.032582,0.092018,0.98551,0.990333,-0.00485,0.009063,-0.015272,0,-0.006824100855737925,0.012098249047994614,-0.032420188188552856,-0.027916005620000003,-0.02390579214779287
0.892064,0.049,2.037687,-0.039741,0.094932,1.005981,1.011231,-0.046853,0.011212,-0.025141,0,-0.00975461583584547,0.012033366598188877,-0.03188727796077728,-0.029147914620000003,-0.025468268767870957
0.930399,0.038335,2.036856,-0.043937,0.094689,1.058863,1.063996,0.034114,-0.064652,-0.011205,0,-0.006615346297621727,0.006545707117766142,-0.030407238751649857,-0.029577458295000005,-0.026633930265415454
0.979079,0.04868,2.037696,-0.032582,0.10343,0.995014,1.000906,-0.010212,-0.08533,0.052266,0,-0.0068676043301820755,0.00010183313861489296,-0.024608798325061798,-0.027033149415000006,-0.027831886567879462
1.017197,0.038118,2.041136,-0.047639,0.1078,1.060081,1.066613,-0.066197,-0.049661,0.087424,0,-0.010955643840134144,-0.003327030688524246,-0.01688927784562111,-0.023700721383000008,-0.02847567206079885
1.065907,0.048711,2.044886,-0.051589,0.099545,0.978199,0.984604,-0.066418,0.001011,0.076314,0,-0.014717886224389076,-0.0030327639542520046,-0.010566912591457367,-0.01998339012900001,-0.028990396940041328
1.104043,0.038136,2.04775,-0.062696,0.084977,0.98551,0.991152,-0.032375,-0.002478,0.047822,0,-0.015899209305644035,-0.0029956481885164976,-0.0066604893654584885,-0.018159650337000007,-0.029244401362482454
1.152675,0.048632,2.048553,-0.043443,0.084977,0.998913,1.003462,0.006854,-0.01181,0.011429,0,-0.014395392499864101,-0.0035782107152044773,-0.005464909598231316,-0.017603835209000007,-0.029510170846063638
1.190824,0.038149,2.048646,-0.037025,0.083035,0.990871,0.995034,0.014808,0.028659,0.021526,0,-0.01248593907803297,-0.0014703921042382717,-0.003700118511915207,-0.016782639835000005,-0.029651326667174693
1.232413,0.041589,2.048939,-0.052823,0.089105,1.003544,1.008875,-0.016638,-0.00818,0.026094,0,-0.012754851020872593,-0.0019049460534006357,-0.0017704748315736651,-0.015697416469000004,-0.02972495894494501
1.27861,0.046197,2.048746,-0.044924,0.086677,0.998426,1.003188,0.007577,-0.023469,0.000303,0,-0.011449049226939678,-0.003289884887635708,-0.0016373071121051908,-0.015683418778000006,-0.029800597621602934
1.320551,0.041941,2.048273,-0.044184,0.091776,0.994039,0.999244,-0.003328,-0.012421,-0.009832,0,-0.010931332595646381,-0.003871993627399206,-0.0021597188897430897,-0.016095782690000005,-0.02989117839155765
1.362464,0.041914,2.047493,-0.037519,0.088862,0.997207,1.001862,0.007276,-0.0118,0.002371,0,-0.009778190404176712,-0.004374105483293533,-0.0018727704882621765,-0.015996404596000005,-0.02996967369380267
1.408243,0.045779,2.046675,-0.036285,0.087163,0.993308,0.997785,0.022933,-0.017016,0.000827,0,-0.007718405686318874,-0.005170150194317102,-0.0017027691937983036,-0.015958545363000006,-0.030047624764725563
1.458572,0.050329,2.045807,-0.02888,0.086191,0.997695,1.001827,0.000123,0.03588,0.004735,0,-0.007227156776934862,-0.002598437247797847,-0.0012994552962481976,-0.015720237548000005,-0.03011302505033044
1.502346,0.043773,2.04485,-0.045665,0.08522,0.999644,1.004309,0.00611,0.024875,-0.007573,0,-0.006395368836820126,-0.0008850235026329756,-0.0016907124081626534,-0.016051730477000006,-0.030187032604572943
1.541624,0.039279,2.043479,-0.032089,0.091047,0.99867,1.003325,0.007059,-0.006642,-0.019925,0,-0.0055596064776182175,-0.0012426371686160564,-0.0028233956545591354,-0.016834364552000006,-0.03029793276248837
1.589454,0.04783,2.041493,-0.035051,0.092747,0.995989,1.000912,0.032945,-0.009911,-0.010703,0,-0.003176162950694561,-0.0017792107537388802,-0.0033111448865383863,-0.017346289042000005,-0.0304563048224115
1.643923,0.054469,2.040716,-0.038506,0.093475,0.997695,1.002804,-0.016131,-0.007133,0.018605,0,-0.003975583240389824,-0.0021095837000757456,-0.001958738313987851,-0.016332893297000006,-0.030562995339636103
1.687522,0.043599,2.040835,-0.031348,0.08959,0.99867,1.00317,-0.039285,-0.029791,0.026966,0,-0.006148496642708778,-0.0038130758330225945,-0.00017873290926218033,-0.015157202663000005,-0.030570787915747025
1.730844,0.043322,2.040535,-0.030854,0.09129,0.990628,0.995304,-0.009201,-0.015852,0.000816,0,-0.006335890851914883,-0.004552149213850498,-0.00011766596435336396,-0.015121851911000005,-0.030575885440654742
1.774872,0.044028,2.03968,-0.030361,0.087891,0.991602,0.995953,0.004136,0.010956,0.002738,0,-0.005694392137229443,-0.0036021338310092688,5.726959352614358e-05,-0.015001303247000004,-0.030573363974990973
1.826002,0.05113,2.039703,-0.028633,0.090804,1.002569,1.00708,-0.011805,-0.012198,0.022452,0,-0.0060680159367620945,-0.004127714782953262,0.001426561502739787,-0.013853332487000004,-0.030500423885355888
1.876848,0.050846,2.040229,-0.026411,0.087163,0.993796,0.99796,0.025681,0.001351,0.024936,0,-0.004130006767809391,-0.003793285461142659,0.002861614106222987,-0.012585436631000004,-0.030354922254510874
1.923058,0.046209,2.040084,-0.028139,0.087405,0.991602,0.995845,0.014224,0.02964,0.025552,0,-0.0030112992972135544,-0.0017554708756506443,0.00424463115632534,-0.011404704263000004,-0.030158782093408235
1.966309,0.043251,2.040273,-0.035791,0.088862,0.999157,1.003739,-0.008275,-0.006036,0.040451,0,-0.003331713378429413,-0.002016037004068494,0.0064486004412174225,-0.009655158062000003,-0.02987987367572514
2.00976,0.043452,2.040698,-0.041715,0.083035,0.990384,0.994734,-0.029766,-0.013645,0.024327,0,-0.004938984289765358,-0.0027231071144342422,0.007535651791840792,-0.008598101258000004,-0.029552434534066075
2.05581,0.04605,2.040882,-0.035791,0.07915,0.995258,0.999042,0.018992,0.032585,0.024671,0,-0.0034853965044021606,-0.0005784633103758097,0.008576466701924801,-0.0074620017080000035,-0.029157488242442436
2.103253,0.047442,2.041125,-0.04838,0.088134,1.001107,1.006142,-0.003888,-0.003684,0.003691,0,-0.0035098290536552668,-0.0007669272599741817,0.008279984816908836,-0.007286893286000003,-0.028764669202758646
2.147475,0.044223,2.040397,-0.035791,0.082549,0.991602,0.995676,0.024561,0.00846,-0.030804,0,-0.001807658700272441,-0.00020742107881233096,0.0059099942445755005,-0.008649138578000003,-0.028503311527280785
