step_idx,timestamp,dt,heading_change_rad,heading_rad,step_length_m,x_m,y_m,var_x,var_y,neff,map_probability,walkable
0,3.795746,0.054476,-0.14066597044490603,-2.0943951023931957,0.65,5.054936745857525,6.145445998720978,0.03397894194172776,0.025892737606689864,9.0,0.00025354969573988654,1.0
1,4.646601,0.045043,0.038866977658437385,-2.0943951023931957,0.65,4.783878792358539,5.643938540911152,0.06452160868033284,0.03898001785573509,25.0,0.0002535478209418285,1.0
2,5.195918,0.038494,0.06049074106753105,-2.0943951023931957,0.65,4.501915297329654,5.154351690419793,0.071592280328711,0.051235323411410225,48.0,0.00025354969573988654,1.0
3,5.948187,0.048548,0.025321012848875224,-2.0943951023931957,0.65,4.244361381871391,4.663648661039277,0.08224803094434005,0.05650301080754716,70.0,0.00025354290464122103,1.0
4,6.479247,0.049479,-0.03242689968678114,-2.0943951023931957,0.65,4.1352233140507835,4.154833491802365,0.08191388214616593,0.07301589648626107,80.0,0.0002527909315738888,1.0
5,7.114437,0.041453,0.017146389643125204,-2.0943951023931957,0.65,4.202947151417674,3.5923485954375933,0.04609152929226868,0.06277539603328905,84.0,0.00025063950627275737,1.0
6,7.760432,0.037911,-0.043799901448843936,-2.0943951023931957,0.65,4.164586565359591,3.0077564922296776,0.04228834160204078,0.04756675199994566,88.0,0.0002439052712175676,1.0
7,8.5238,0.04145,0.027536395805343616,-2.0943951023931957,0.65,3.932938652685594,2.472813666496501,0.06690691790238863,0.037565285244122115,83.0,0.0002534507049485391,1.0
8,9.291689,0.043572,0.026358765656500083,-2.0943951023931957,0.65,3.7222415993419924,2.0840411180369056,0.14106857113894028,0.04964777753033574,86.0,0.00019685162450195414,1.0
